,0,1,2,3,4
0,Recency (months),Frequency (times),Monetary (c.c. blood),Time (months),whether he/she donated blood in March 2007
1,2 ,50,12500,98 ,1
2,0 ,13,3250,28 ,1
3,1 ,16,4000,35 ,1
4,2 ,20,5000,45 ,1
5,1 ,24,6000,77 ,0
6,4 ,4,1000,4 ,0
7,2 ,7,1750,14 ,1
8,1 ,12,3000,35 ,0
9,2 ,9,2250,22 ,1
10,5 ,46,11500,98 ,1
11,4 ,23,5750,58 ,0
12,0 ,3,750,4 ,0
13,2 ,10,2500,28 ,1
14,1 ,13,3250,47 ,0
15,2 ,6,1500,15 ,1
16,2 ,5,1250,11 ,1
17,2 ,14,3500,48 ,1
18,2 ,15,3750,49 ,1
19,2 ,6,1500,15 ,1
20,2 ,3,750,4 ,1
21,2 ,3,750,4 ,1
22,4 ,11,2750,28 ,0
23,2 ,6,1500,16 ,1
24,2 ,6,1500,16 ,1
25,9 ,9,2250,16 ,0
26,4 ,14,3500,40 ,0
27,4 ,6,1500,14 ,0
28,4 ,12,3000,34 ,1
29,4 ,5,1250,11 ,1
30,4 ,8,2000,21 ,0
31,1 ,14,3500,58 ,0
32,4 ,10,2500,28 ,1
33,4 ,10,2500,28 ,1
34,4 ,9,2250,26 ,1
35,2 ,16,4000,64 ,0
36,2 ,8,2000,28 ,1
37,2 ,12,3000,47 ,1
38,4 ,6,1500,16 ,1
39,2 ,14,3500,57 ,1
40,4 ,7,1750,22 ,1
41,2 ,13,3250,53 ,1
42,2 ,5,1250,16 ,0
43,2 ,5,1250,16 ,1
44,2 ,5,1250,16 ,0
45,4 ,20,5000,69 ,1
46,4 ,9,2250,28 ,1
47,2 ,9,2250,36 ,0
48,2 ,2,500,2 ,0
49,2 ,2,500,2 ,0
50,2 ,2,500,2 ,0
51,2 ,11,2750,46 ,0
52,2 ,11,2750,46 ,1
53,2 ,6,1500,22 ,0
54,2 ,12,3000,52 ,0
55,4 ,5,1250,14 ,1
56,4 ,19,4750,69 ,1
57,4 ,8,2000,26 ,1
58,2 ,7,1750,28 ,1
59,2 ,16,4000,81 ,0
60,3 ,6,1500,21 ,0
61,2 ,7,1750,29 ,0
62,2 ,8,2000,35 ,1
63,2 ,10,2500,49 ,0
64,4 ,5,1250,16 ,1
65,2 ,3,750,9 ,1
66,3 ,16,4000,74 ,0
67,2 ,4,1000,14 ,1
68,0 ,2,500,4 ,0
69,4 ,7,1750,25 ,0
70,1 ,9,2250,51 ,0
71,2 ,4,1000,16 ,0
72,2 ,4,1000,16 ,0
73,4 ,17,4250,71 ,1
74,2 ,2,500,4 ,0
75,2 ,2,500,4 ,1
76,2 ,2,500,4 ,1
77,2 ,4,1000,16 ,1
78,2 ,2,500,4 ,0
79,2 ,2,500,4 ,0
80,2 ,2,500,4 ,0
81,4 ,6,1500,23 ,1
82,2 ,4,1000,16 ,0
83,2 ,4,1000,16 ,0
84,2 ,4,1000,16 ,0
85,2 ,6,1500,28 ,1
86,2 ,6,1500,28 ,0
87,4 ,2,500,4 ,0
88,4 ,2,500,4 ,0
89,4 ,2,500,4 ,0
90,2 ,7,1750,35 ,1
91,4 ,2,500,4 ,1
92,4 ,2,500,4 ,0
93,4 ,2,500,4 ,0
94,4 ,2,500,4 ,0
95,12 ,11,2750,23 ,0
96,4 ,7,1750,28 ,0
97,3 ,17,4250,86 ,0
98,4 ,9,2250,38 ,1
99,4 ,4,1000,14 ,1
100,5 ,7,1750,26 ,1
101,4 ,8,2000,34 ,1
102,2 ,13,3250,76 ,1
103,4 ,9,2250,40 ,0
104,2 ,5,1250,26 ,0
105,2 ,5,1250,26 ,0
106,6 ,17,4250,70 ,0
107,0 ,8,2000,59 ,0
108,3 ,5,1250,26 ,0
109,2 ,3,750,14 ,0
110,2 ,10,2500,64 ,0
111,4 ,5,1250,23 ,1
112,4 ,9,2250,46 ,0
113,4 ,5,1250,23 ,0
114,4 ,8,2000,40 ,1
115,2 ,12,3000,82 ,0
116,11 ,24,6000,64 ,0
117,2 ,7,1750,46 ,1
118,4 ,11,2750,61 ,0
119,1 ,7,1750,57 ,0
120,2 ,11,2750,79 ,1
121,2 ,3,750,16 ,1
122,4 ,5,1250,26 ,1
123,2 ,6,1500,41 ,1
124,2 ,5,1250,33 ,1
125,2 ,4,1000,26 ,0
126,2 ,5,1250,34 ,0
127,4 ,8,2000,46 ,1
128,2 ,4,1000,26 ,0
129,4 ,8,2000,48 ,1
130,2 ,2,500,10 ,1
131,4 ,5,1250,28 ,0
132,2 ,12,3000,95 ,0
133,2 ,2,500,10 ,0
134,4 ,6,1500,35 ,0
135,2 ,11,2750,88 ,0
136,2 ,3,750,19 ,0
137,2 ,5,1250,37 ,0
138,2 ,12,3000,98 ,0
139,9 ,5,1250,19 ,0
140,2 ,2,500,11 ,0
141,2 ,9,2250,74 ,0
142,5 ,14,3500,86 ,0
143,4 ,3,750,16 ,0
144,4 ,3,750,16 ,0
145,4 ,2,500,9 ,1
146,4 ,3,750,16 ,1
147,6 ,3,750,14 ,0
148,2 ,2,500,11 ,0
149,2 ,2,500,11 ,1
150,2 ,2,500,11 ,0
151,2 ,7,1750,58 ,1
152,4 ,6,1500,39 ,0
153,4 ,11,2750,78 ,0
154,2 ,1,250,2 ,1
155,2 ,1,250,2 ,0
156,2 ,1,250,2 ,0
157,2 ,1,250,2 ,0
158,2 ,1,250,2 ,0
159,2 ,1,250,2 ,0
160,2 ,1,250,2 ,0
161,2 ,1,250,2 ,0
162,2 ,1,250,2 ,0
163,2 ,1,250,2 ,0
164,2 ,1,250,2 ,1
165,2 ,1,250,2 ,1
166,2 ,1,250,2 ,1
167,2 ,1,250,2 ,0
168,2 ,1,250,2 ,0
169,2 ,1,250,2 ,0
170,2 ,1,250,2 ,0
171,2 ,1,250,2 ,0
172,2 ,1,250,2 ,0
173,2 ,1,250,2 ,0
174,2 ,1,250,2 ,0
175,2 ,1,250,2 ,0
176,11 ,10,2500,35 ,0
177,11 ,4,1000,16 ,1
178,4 ,5,1250,33 ,1
179,4 ,6,1500,41 ,1
180,2 ,3,750,22 ,0
181,4 ,4,1000,26 ,1
182,10 ,4,1000,16 ,0
183,2 ,4,1000,35 ,0
184,4 ,12,3000,88 ,0
185,13 ,8,2000,26 ,0
186,11 ,9,2250,33 ,0
187,4 ,5,1250,34 ,0
188,4 ,4,1000,26 ,0
189,8 ,15,3750,77 ,0
190,4 ,5,1250,35 ,1
191,4 ,7,1750,52 ,0
192,4 ,7,1750,52 ,0
193,2 ,4,1000,35 ,0
194,11 ,11,2750,42 ,0
195,2 ,2,500,14 ,0
196,2 ,5,1250,47 ,1
197,9 ,8,2000,38 ,1
198,4 ,6,1500,47 ,0
199,11 ,7,1750,29 ,0
200,9 ,9,2250,45 ,0
201,4 ,6,1500,52 ,0
202,4 ,7,1750,58 ,0
203,6 ,2,500,11 ,1
204,4 ,7,1750,58 ,0
205,11 ,9,2250,38 ,0
206,11 ,6,1500,26 ,0
207,2 ,2,500,16 ,0
208,2 ,7,1750,76 ,0
209,11 ,6,1500,27 ,0
210,11 ,3,750,14 ,0
211,4 ,1,250,4 ,0
212,4 ,1,250,4 ,0
213,4 ,1,250,4 ,0
214,4 ,1,250,4 ,0
215,4 ,1,250,4 ,0
216,4 ,1,250,4 ,1
217,4 ,1,250,4 ,0
218,4 ,1,250,4 ,0
219,4 ,1,250,4 ,0
220,4 ,1,250,4 ,0
221,4 ,1,250,4 ,0
222,4 ,1,250,4 ,1
223,4 ,1,250,4 ,1
224,4 ,1,250,4 ,0
225,4 ,1,250,4 ,1
226,4 ,1,250,4 ,1
227,4 ,1,250,4 ,0
228,4 ,3,750,24 ,0
229,4 ,1,250,4 ,0
230,4 ,1,250,4 ,0
231,4 ,1,250,4 ,0
232,4 ,1,250,4 ,1
233,4 ,1,250,4 ,0
234,10 ,8,2000,39 ,0
235,14 ,7,1750,26 ,0
236,8 ,10,2500,63 ,0
237,11 ,3,750,15 ,0
238,4 ,2,500,14 ,0
239,2 ,4,1000,43 ,0
240,8 ,9,2250,58 ,0
241,8 ,8,2000,52 ,1
242,11 ,22,5500,98 ,0
243,4 ,3,750,25 ,1
244,11 ,17,4250,79 ,1
245,9 ,2,500,11 ,0
246,4 ,5,1250,46 ,0
247,11 ,12,3000,58 ,0
248,7 ,12,3000,86 ,0
249,11 ,2,500,11 ,0
250,11 ,2,500,11 ,0
251,11 ,2,500,11 ,0
252,2 ,6,1500,75 ,0
253,11 ,8,2000,41 ,1
254,11 ,3,750,16 ,1
255,12 ,13,3250,59 ,0
256,2 ,3,750,35 ,0
257,16 ,8,2000,28 ,0
258,11 ,7,1750,37 ,0
259,4 ,3,750,28 ,0
260,12 ,12,3000,58 ,0
261,4 ,4,1000,41 ,0
262,11 ,14,3500,73 ,1
263,2 ,2,500,23 ,0
264,2 ,3,750,38 ,1
265,4 ,5,1250,58 ,0
266,4 ,4,1000,43 ,1
267,3 ,2,500,23 ,0
268,11 ,8,2000,46 ,0
269,4 ,7,1750,82 ,0
270,13 ,4,1000,21 ,0
271,16 ,11,2750,40 ,0
272,16 ,7,1750,28 ,0
273,7 ,2,500,16 ,0
274,4 ,5,1250,58 ,0
275,4 ,5,1250,58 ,0
276,4 ,4,1000,46 ,0
277,14 ,13,3250,57 ,0
278,4 ,3,750,34 ,0
279,14 ,18,4500,78 ,0
280,11 ,8,2000,48 ,0
281,14 ,16,4000,70 ,0
282,14 ,4,1000,22 ,1
283,14 ,5,1250,26 ,0
284,8 ,2,500,16 ,0
285,11 ,5,1250,33 ,0
286,11 ,2,500,14 ,0
287,4 ,2,500,23 ,0
288,9 ,2,500,16 ,1
289,14 ,5,1250,28 ,1
290,14 ,3,750,19 ,1
291,14 ,4,1000,23 ,1
292,16 ,12,3000,50 ,0
293,11 ,4,1000,28 ,0
294,11 ,5,1250,35 ,0
295,11 ,5,1250,35 ,0
296,2 ,4,1000,70 ,0
297,14 ,5,1250,28 ,0
298,14 ,2,500,14 ,0
299,14 ,2,500,14 ,0
300,14 ,2,500,14 ,0
301,14 ,2,500,14 ,0
302,14 ,2,500,14 ,0
303,14 ,2,500,14 ,0
304,2 ,3,750,52 ,0
305,14 ,6,1500,34 ,0
306,11 ,5,1250,37 ,1
307,4 ,5,1250,74 ,0
308,11 ,3,750,23 ,0
309,16 ,4,1000,23 ,0
310,16 ,3,750,19 ,0
311,11 ,5,1250,38 ,0
312,11 ,2,500,16 ,0
313,12 ,9,2250,60 ,0
314,9 ,1,250,9 ,0
315,9 ,1,250,9 ,0
316,4 ,2,500,29 ,0
317,11 ,2,500,17 ,0
318,14 ,4,1000,26 ,0
319,11 ,9,2250,72 ,1
320,11 ,5,1250,41 ,0
321,15 ,16,4000,82 ,0
322,9 ,5,1250,51 ,1
323,11 ,4,1000,34 ,0
324,14 ,8,2000,50 ,1
325,16 ,7,1750,38 ,0
326,14 ,2,500,16 ,0
327,2 ,2,500,41 ,0
328,14 ,16,4000,98 ,0
329,14 ,4,1000,28 ,1
330,16 ,7,1750,39 ,0
331,14 ,7,1750,47 ,0
332,16 ,6,1500,35 ,0
333,16 ,6,1500,35 ,1
334,11 ,7,1750,62 ,1
335,16 ,2,500,16 ,0
336,16 ,3,750,21 ,1
337,11 ,3,750,28 ,0
338,11 ,7,1750,64 ,0
339,11 ,1,250,11 ,1
340,9 ,3,750,34 ,0
341,14 ,4,1000,30 ,0
342,23 ,38,9500,98 ,0
343,11 ,6,1500,58 ,0
344,11 ,1,250,11 ,0
345,11 ,1,250,11 ,0
346,11 ,1,250,11 ,0
347,11 ,1,250,11 ,0
348,11 ,1,250,11 ,0
349,11 ,1,250,11 ,0
350,11 ,1,250,11 ,0
351,11 ,1,250,11 ,0
352,11 ,2,500,21 ,0
353,11 ,5,1250,50 ,0
354,11 ,2,500,21 ,0
355,16 ,4,1000,28 ,0
356,4 ,2,500,41 ,0
357,16 ,6,1500,40 ,0
358,14 ,3,750,26 ,0
359,9 ,2,500,26 ,0
360,21 ,16,4000,64 ,0
361,14 ,6,1500,51 ,0
362,11 ,2,500,24 ,0
363,4 ,3,750,71 ,0
364,21 ,13,3250,57 ,0
365,11 ,6,1500,71 ,0
366,14 ,2,500,21 ,1
367,23 ,15,3750,57 ,0
368,14 ,4,1000,38 ,0
369,11 ,2,500,26 ,0
370,16 ,5,1250,40 ,1
371,4 ,2,500,51 ,1
372,14 ,3,750,31 ,0
373,4 ,2,500,52 ,0
374,9 ,4,1000,65 ,0
375,14 ,4,1000,40 ,0
376,11 ,3,750,40 ,1
377,14 ,5,1250,50 ,0
378,14 ,1,250,14 ,0
379,14 ,1,250,14 ,0
380,14 ,1,250,14 ,0
381,14 ,1,250,14 ,0
382,14 ,1,250,14 ,0
383,14 ,1,250,14 ,0
384,14 ,1,250,14 ,0
385,14 ,1,250,14 ,0
386,14 ,7,1750,72 ,0
387,14 ,1,250,14 ,0
388,14 ,1,250,14 ,0
389,9 ,3,750,52 ,0
390,14 ,7,1750,73 ,0
391,11 ,4,1000,58 ,0
392,11 ,4,1000,59 ,0
393,4 ,2,500,59 ,0
394,11 ,4,1000,61 ,0
395,16 ,4,1000,40 ,0
396,16 ,10,2500,89 ,0
397,21 ,2,500,21 ,1
398,21 ,3,750,26 ,0
399,16 ,8,2000,76 ,0
400,21 ,3,750,26 ,1
401,18 ,2,500,23 ,0
402,23 ,5,1250,33 ,0
403,23 ,8,2000,46 ,0
404,16 ,3,750,34 ,0
405,14 ,5,1250,64 ,0
406,14 ,3,750,41 ,0
407,16 ,1,250,16 ,0
408,16 ,1,250,16 ,0
409,16 ,1,250,16 ,0
410,16 ,1,250,16 ,0
411,16 ,1,250,16 ,0
412,16 ,1,250,16 ,0
413,16 ,1,250,16 ,0
414,16 ,4,1000,45 ,0
415,16 ,1,250,16 ,0
416,16 ,1,250,16 ,0
417,16 ,1,250,16 ,0
418,16 ,1,250,16 ,0
419,16 ,1,250,16 ,0
420,16 ,2,500,26 ,0
421,21 ,2,500,23 ,0
422,16 ,2,500,27 ,0
423,21 ,2,500,23 ,0
424,21 ,2,500,23 ,0
425,14 ,4,1000,57 ,0
426,16 ,5,1250,60 ,0
427,23 ,2,500,23 ,0
428,14 ,5,1250,74 ,0
429,23 ,3,750,28 ,0
430,16 ,3,750,40 ,0
431,9 ,2,500,52 ,0
432,9 ,2,500,52 ,0
433,16 ,7,1750,87 ,1
434,14 ,4,1000,64 ,0
435,14 ,2,500,35 ,0
436,16 ,7,1750,93 ,0
437,21 ,2,500,25 ,0
438,14 ,3,750,52 ,0
439,23 ,14,3500,93 ,0
440,18 ,8,2000,95 ,0
441,16 ,3,750,46 ,0
442,11 ,3,750,76 ,0
443,11 ,2,500,52 ,0
444,11 ,3,750,76 ,0
445,23 ,12,3000,86 ,0
446,21 ,3,750,35 ,0
447,23 ,2,500,26 ,0
448,23 ,2,500,26 ,0
449,23 ,8,2000,64 ,0
450,16 ,3,750,50 ,0
451,23 ,3,750,33 ,0
452,21 ,3,750,38 ,0
453,23 ,2,500,28 ,0
454,21 ,1,250,21 ,0
455,21 ,1,250,21 ,0
456,21 ,1,250,21 ,0
457,21 ,1,250,21 ,0
458,21 ,1,250,21 ,0
459,21 ,1,250,21 ,0
460,21 ,1,250,21 ,0
461,21 ,1,250,21 ,0
462,21 ,1,250,21 ,0
463,21 ,1,250,21 ,1
464,21 ,1,250,21 ,0
465,21 ,1,250,21 ,0
466,21 ,5,1250,60 ,0
467,23 ,4,1000,45 ,0
468,21 ,4,1000,52 ,0
469,22 ,1,250,22 ,1
470,11 ,2,500,70 ,0
471,23 ,5,1250,58 ,0
472,23 ,3,750,40 ,0
473,23 ,3,750,41 ,0
474,14 ,3,750,83 ,0
475,21 ,2,500,35 ,0
476,26 ,5,1250,49 ,1
477,23 ,6,1500,70 ,0
478,23 ,1,250,23 ,0
479,23 ,1,250,23 ,0
480,23 ,1,250,23 ,0
481,23 ,1,250,23 ,0
482,23 ,1,250,23 ,0
483,23 ,1,250,23 ,0
484,23 ,1,250,23 ,0
485,23 ,1,250,23 ,0
486,23 ,4,1000,53 ,0
487,21 ,6,1500,86 ,0
488,23 ,3,750,48 ,0
489,21 ,2,500,41 ,0
490,21 ,3,750,64 ,0
491,16 ,2,500,70 ,0
492,21 ,3,750,70 ,0
493,23 ,4,1000,87 ,0
494,23 ,3,750,89 ,0
495,23 ,2,500,87 ,0
496,35 ,3,750,64 ,0
497,38 ,1,250,38 ,0
498,38 ,1,250,38 ,0
499,40 ,1,250,40 ,0
500,74 ,1,250,74 ,0
501,2 ,43,10750,86 ,1
502,6 ,22,5500,28 ,1
503,2 ,34,8500,77 ,1
504,2 ,44,11000,98 ,0
505,0 ,26,6500,76 ,1
506,2 ,41,10250,98 ,1
507,3 ,21,5250,42 ,1
508,2 ,11,2750,23 ,0
509,2 ,21,5250,52 ,1
510,2 ,13,3250,32 ,1
511,4 ,4,1000,4 ,1
512,2 ,11,2750,26 ,0
513,2 ,11,2750,28 ,0
514,3 ,14,3500,35 ,0
515,4 ,16,4000,38 ,1
516,4 ,6,1500,14 ,0
517,3 ,5,1250,12 ,1
518,4 ,33,8250,98 ,1
519,3 ,10,2500,33 ,1
520,4 ,10,2500,28 ,1
521,2 ,11,2750,40 ,1
522,2 ,11,2750,41 ,1
523,4 ,13,3250,39 ,1
524,1 ,10,2500,43 ,1
525,4 ,9,2250,28 ,0
526,2 ,4,1000,11 ,0
527,2 ,5,1250,16 ,1
528,2 ,15,3750,64 ,0
529,5 ,24,6000,79 ,0
530,2 ,6,1500,22 ,1
531,4 ,5,1250,16 ,1
532,2 ,4,1000,14 ,1
533,4 ,8,2000,28 ,0
534,2 ,4,1000,14 ,0
535,2 ,6,1500,26 ,0
536,4 ,5,1250,16 ,1
537,2 ,7,1750,32 ,1
538,2 ,6,1500,26 ,1
539,2 ,8,2000,38 ,1
540,2 ,2,500,4 ,1
541,2 ,6,1500,28 ,1
542,2 ,10,2500,52 ,0
543,4 ,16,4000,70 ,1
544,4 ,2,500,4 ,1
545,1 ,14,3500,95 ,0
546,4 ,2,500,4 ,1
547,7 ,14,3500,48 ,0
548,2 ,3,750,11 ,0
549,2 ,12,3000,70 ,1
550,4 ,7,1750,32 ,1
551,4 ,4,1000,16 ,0
552,2 ,6,1500,35 ,1
553,4 ,6,1500,28 ,1
554,2 ,3,750,14 ,0
555,2 ,4,1000,23 ,0
556,4 ,4,1000,18 ,0
557,5 ,6,1500,28 ,0
558,4 ,6,1500,30 ,0
559,14 ,5,1250,14 ,0
560,3 ,8,2000,50 ,0
561,4 ,11,2750,64 ,1
562,4 ,9,2250,52 ,0
563,4 ,16,4000,98 ,1
564,7 ,10,2500,47 ,0
565,4 ,14,3500,86 ,0
566,2 ,9,2250,75 ,0
567,4 ,6,1500,35 ,0
568,4 ,9,2250,55 ,0
569,4 ,6,1500,35 ,1
570,2 ,6,1500,45 ,0
571,2 ,6,1500,47 ,0
572,4 ,2,500,9 ,0
573,2 ,2,500,11 ,1
574,2 ,2,500,11 ,0
575,2 ,2,500,11 ,1
576,4 ,6,1500,38 ,1
577,3 ,4,1000,29 ,1
578,9 ,9,2250,38 ,0
579,11 ,5,1250,18 ,0
580,2 ,3,750,21 ,0
581,2 ,1,250,2 ,0
582,2 ,1,250,2 ,1
583,2 ,1,250,2 ,0
584,2 ,1,250,2 ,0
585,2 ,1,250,2 ,0
586,2 ,1,250,2 ,0
587,2 ,1,250,2 ,1
588,2 ,1,250,2 ,0
589,2 ,1,250,2 ,0
590,2 ,1,250,2 ,0
591,2 ,1,250,2 ,0
592,11 ,11,2750,38 ,0
593,2 ,3,750,22 ,0
594,9 ,11,2750,49 ,1
595,5 ,11,2750,75 ,0
596,3 ,5,1250,38 ,0
597,3 ,1,250,3 ,1
598,4 ,6,1500,43 ,0
599,2 ,3,750,24 ,0
600,12 ,11,2750,39 ,0
601,2 ,2,500,14 ,0
602,4 ,6,1500,46 ,0
603,9 ,3,750,14 ,0
604,14 ,8,2000,26 ,0
605,4 ,2,500,13 ,0
606,4 ,11,2750,95 ,0
607,2 ,7,1750,77 ,0
608,2 ,7,1750,77 ,0
609,4 ,1,250,4 ,0
610,4 ,1,250,4 ,0
611,4 ,1,250,4 ,0
612,4 ,1,250,4 ,0
613,4 ,1,250,4 ,1
614,4 ,1,250,4 ,0
615,4 ,1,250,4 ,0
616,4 ,1,250,4 ,0
617,4 ,1,250,4 ,0
618,4 ,1,250,4 ,0
619,4 ,1,250,4 ,1
620,4 ,1,250,4 ,0
621,4 ,7,1750,62 ,0
622,4 ,1,250,4 ,0
623,4 ,4,1000,34 ,1
624,11 ,6,1500,28 ,0
625,13 ,3,750,14 ,1
626,7 ,5,1250,35 ,0
627,9 ,9,2250,54 ,0
628,11 ,2,500,11 ,0
629,2 ,5,1250,63 ,0
630,7 ,11,2750,89 ,0
631,8 ,9,2250,64 ,0
632,2 ,2,500,22 ,0
633,6 ,3,750,26 ,0
634,12 ,15,3750,71 ,0
635,13 ,3,750,16 ,0
636,11 ,16,4000,89 ,0
637,4 ,5,1250,58 ,0
638,14 ,7,1750,35 ,0
639,11 ,4,1000,27 ,0
640,7 ,9,2250,89 ,1
641,11 ,8,2000,52 ,1
642,7 ,5,1250,52 ,0
643,11 ,6,1500,41 ,0
644,10 ,5,1250,38 ,0
645,14 ,2,500,14 ,1
646,14 ,2,500,14 ,0
647,14 ,2,500,14 ,0
648,2 ,2,500,33 ,0
649,11 ,3,750,23 ,0
650,14 ,8,2000,46 ,0
651,9 ,1,250,9 ,0
652,16 ,5,1250,27 ,0
653,14 ,4,1000,26 ,0
654,4 ,2,500,30 ,0
655,14 ,3,750,21 ,0
656,16 ,16,4000,77 ,0
657,4 ,2,500,31 ,0
658,14 ,8,2000,50 ,0
659,11 ,3,750,26 ,0
660,14 ,7,1750,45 ,0
661,15 ,5,1250,33 ,0
662,16 ,2,500,16 ,0
663,16 ,3,750,21 ,0
664,11 ,8,2000,72 ,0
665,11 ,1,250,11 ,0
666,11 ,1,250,11 ,0
667,11 ,1,250,11 ,0
668,11 ,1,250,11 ,1
669,11 ,1,250,11 ,0
670,2 ,3,750,75 ,1
671,2 ,3,750,77 ,0
672,16 ,4,1000,28 ,0
673,16 ,15,3750,87 ,0
674,16 ,14,3500,83 ,0
675,16 ,10,2500,62 ,0
676,16 ,3,750,23 ,0
677,14 ,3,750,26 ,0
678,23 ,19,4750,62 ,0
679,11 ,7,1750,75 ,0
680,14 ,3,750,28 ,0
681,20 ,14,3500,69 ,1
682,4 ,2,500,46 ,0
683,11 ,2,500,25 ,0
684,11 ,3,750,37 ,0
685,16 ,4,1000,33 ,0
686,21 ,7,1750,38 ,0
687,13 ,7,1750,76 ,0
688,16 ,6,1500,50 ,0
689,14 ,3,750,33 ,0
690,14 ,1,250,14 ,0
691,14 ,1,250,14 ,0
692,14 ,1,250,14 ,0
693,14 ,1,250,14 ,0
694,14 ,1,250,14 ,0
695,14 ,1,250,14 ,0
696,17 ,7,1750,58 ,1
697,14 ,3,750,35 ,0
698,14 ,3,750,35 ,0
699,16 ,7,1750,64 ,0
700,21 ,2,500,21 ,0
701,16 ,3,750,35 ,0
702,16 ,1,250,16 ,0
703,16 ,1,250,16 ,0
704,16 ,1,250,16 ,0
705,16 ,1,250,16 ,0
706,16 ,1,250,16 ,0
707,14 ,2,500,29 ,0
708,11 ,4,1000,74 ,0
709,11 ,2,500,38 ,1
710,21 ,6,1500,48 ,0
711,23 ,2,500,23 ,0
712,23 ,6,1500,45 ,0
713,14 ,2,500,35 ,1
714,16 ,6,1500,81 ,0
715,16 ,4,1000,58 ,0
716,16 ,5,1250,71 ,0
717,21 ,2,500,26 ,0
718,21 ,3,750,35 ,0
719,21 ,3,750,35 ,0
720,23 ,8,2000,69 ,0
721,21 ,3,750,38 ,0
722,23 ,3,750,35 ,0
723,21 ,3,750,40 ,0
724,23 ,2,500,28 ,0
725,21 ,1,250,21 ,0
726,21 ,1,250,21 ,0
727,25 ,6,1500,50 ,0
728,21 ,1,250,21 ,0
729,21 ,1,250,21 ,0
730,23 ,3,750,39 ,0
731,21 ,2,500,33 ,0
732,14 ,3,750,79 ,0
733,23 ,1,250,23 ,1
734,23 ,1,250,23 ,0
735,23 ,1,250,23 ,0
736,23 ,1,250,23 ,0
737,23 ,1,250,23 ,0
738,23 ,1,250,23 ,0
739,23 ,1,250,23 ,0
740,23 ,4,1000,52 ,0
741,23 ,1,250,23 ,0
742,23 ,7,1750,88 ,0
743,16 ,3,750,86 ,0
744,23 ,2,500,38 ,0
745,21 ,2,500,52 ,0
746,23 ,3,750,62 ,0
747,39 ,1,250,39 ,0
748,72 ,1,250,72 ,0
