checkin_acc,duration,credit_history,amount,savings_acc,present_emp_since,inst_rate,personal_status,residing_since,age,inst_plans,num_credits,job,status
A11,6,A34,1169,A65,A75,4,A93,4,67,A143,2,A173,0
A12,48,A32,5951,A61,A73,2,A92,2,22,A143,1,A173,1
A14,12,A34,2096,A61,A74,2,A93,3,49,A143,1,A172,0
A11,42,A32,7882,A61,A74,2,A93,4,45,A143,1,A173,0
A11,24,A33,4870,A61,A73,3,A93,4,53,A143,2,A173,1
A14,36,A32,9055,A65,A73,2,A93,4,35,A143,1,A172,0
A14,24,A32,2835,A63,A75,3,A93,4,53,A143,1,A173,0
A12,36,A32,6948,A61,A73,2,A93,2,35,A143,1,A174,0
A14,12,A32,3059,A64,A74,2,A91,4,61,A143,1,A172,0
A12,30,A34,5234,A61,A71,4,A94,2,28,A143,2,A174,1
A12,12,A32,1295,A61,A72,3,A92,1,25,A143,1,A173,1
A11,48,A32,4308,A61,A72,3,A92,4,24,A143,1,A173,1
A12,12,A32,1567,A61,A73,1,A92,1,22,A143,1,A173,0
A11,24,A34,1199,A61,A75,4,A93,4,60,A143,2,A172,1
A11,15,A32,1403,A61,A73,2,A92,4,28,A143,1,A173,0
A11,24,A32,1282,A62,A73,4,A92,2,32,A143,1,A172,1
A14,24,A34,2424,A65,A75,4,A93,4,53,A143,2,A173,0
A11,30,A30,8072,A65,A72,2,A93,3,25,A141,3,A173,0
A12,24,A32,12579,A61,A75,4,A92,2,44,A143,1,A174,1
A14,24,A32,3430,A63,A75,3,A93,2,31,A143,1,A173,0
A14,9,A34,2134,A61,A73,4,A93,4,48,A143,3,A173,0
A11,6,A32,2647,A63,A73,2,A93,3,44,A143,1,A173,0
A11,10,A34,2241,A61,A72,1,A93,3,48,A143,2,A172,0
A12,12,A34,1804,A62,A72,3,A93,4,44,A143,1,A173,0
A14,10,A34,2069,A65,A73,2,A94,1,26,A143,2,A173,0
A11,6,A32,1374,A61,A73,1,A93,2,36,A141,1,A172,0
A14,6,A30,426,A61,A75,4,A94,4,39,A143,1,A172,0
A13,12,A31,409,A64,A73,3,A92,3,42,A143,2,A173,0
A12,7,A32,2415,A61,A73,3,A93,2,34,A143,1,A173,0
A11,60,A33,6836,A61,A75,3,A93,4,63,A143,2,A173,1
A12,18,A32,1913,A64,A72,3,A94,3,36,A141,1,A173,0
A11,24,A32,4020,A61,A73,2,A93,2,27,A142,1,A173,0
A12,18,A32,5866,A62,A73,2,A93,2,30,A143,2,A173,0
A14,12,A34,1264,A65,A75,4,A93,4,57,A143,1,A172,0
A13,12,A32,1474,A61,A72,4,A92,1,33,A141,1,A174,0
A12,45,A34,4746,A61,A72,4,A93,2,25,A143,2,A172,1
A14,48,A34,6110,A61,A73,1,A93,3,31,A141,1,A173,0
A13,18,A32,2100,A61,A73,4,A93,2,37,A142,1,A173,1
A13,10,A32,1225,A61,A73,2,A93,2,37,A143,1,A173,0
A12,9,A32,458,A61,A73,4,A93,3,24,A143,1,A173,0
A14,30,A32,2333,A63,A75,4,A93,2,30,A141,1,A174,0
A12,12,A32,1158,A63,A73,3,A91,1,26,A143,1,A173,0
A12,18,A33,6204,A61,A73,2,A93,4,44,A143,1,A172,0
A11,30,A34,6187,A62,A74,1,A94,4,24,A143,2,A173,0
A11,48,A34,6143,A61,A75,4,A92,4,58,A142,2,A172,1
A14,11,A34,1393,A61,A72,4,A92,4,35,A143,2,A174,0
A14,36,A32,2299,A63,A75,4,A93,4,39,A143,1,A173,0
A11,6,A32,1352,A63,A71,1,A92,2,23,A143,1,A171,0
A14,11,A34,7228,A61,A73,1,A93,4,39,A143,2,A172,0
A14,12,A32,2073,A62,A73,4,A92,2,28,A143,1,A173,0
A12,24,A33,2333,A65,A72,4,A93,2,29,A141,1,A172,0
A12,27,A33,5965,A61,A75,1,A93,2,30,A143,2,A174,0
A14,12,A32,1262,A61,A73,3,A93,2,25,A143,1,A173,0
A14,18,A32,3378,A65,A73,2,A93,1,31,A143,1,A173,0
A12,36,A33,2225,A61,A75,4,A93,4,57,A141,2,A173,1
A14,6,A31,783,A65,A73,1,A93,2,26,A142,1,A172,0
A12,12,A32,6468,A65,A71,2,A93,1,52,A143,1,A174,1
A14,36,A34,9566,A61,A73,2,A92,2,31,A142,2,A173,0
A13,18,A32,1961,A61,A75,3,A92,2,23,A143,1,A174,0
A11,36,A34,6229,A61,A72,4,A92,4,23,A143,2,A172,1
A12,9,A32,1391,A61,A73,2,A94,1,27,A141,1,A173,0
A12,15,A34,1537,A65,A75,4,A93,4,50,A143,2,A173,0
A12,36,A30,1953,A61,A75,4,A93,4,61,A143,1,A174,1
A12,48,A30,14421,A61,A73,2,A93,2,25,A143,1,A173,1
A14,24,A32,3181,A61,A72,4,A92,4,26,A143,1,A173,0
A14,27,A32,5190,A65,A75,4,A93,4,48,A143,4,A173,0
A14,12,A32,2171,A61,A72,2,A92,2,29,A141,1,A173,0
A12,12,A32,1007,A64,A73,4,A94,1,22,A143,1,A173,0
A14,36,A32,1819,A61,A73,4,A93,4,37,A142,1,A173,1
A14,36,A32,2394,A65,A73,4,A92,4,25,A143,1,A173,0
A14,36,A32,8133,A61,A73,1,A92,2,30,A141,1,A173,0
A14,7,A34,730,A65,A75,4,A93,2,46,A143,2,A172,0
A11,8,A34,1164,A61,A75,3,A93,4,51,A141,2,A174,0
A12,42,A34,5954,A61,A74,2,A92,1,41,A141,2,A172,0
A11,36,A32,1977,A65,A75,4,A93,4,40,A143,1,A174,1
A11,12,A34,1526,A61,A75,4,A93,4,66,A143,2,A174,0
A11,42,A32,3965,A61,A72,4,A93,3,34,A143,1,A173,1
A12,11,A33,4771,A61,A74,2,A93,4,51,A143,1,A173,0
A14,54,A30,9436,A65,A73,2,A93,2,39,A143,1,A172,0
A12,30,A32,3832,A61,A72,2,A94,1,22,A143,1,A173,0
A14,24,A32,5943,A65,A72,1,A92,1,44,A143,2,A173,1
A14,15,A32,1213,A63,A75,4,A93,3,47,A142,1,A173,0
A14,18,A32,1568,A62,A73,3,A92,4,24,A143,1,A172,0
A11,24,A32,1755,A61,A75,4,A92,4,58,A143,1,A172,0
A11,10,A32,2315,A61,A75,3,A93,4,52,A143,1,A172,0
A14,12,A34,1412,A61,A73,4,A92,2,29,A143,2,A174,0
A12,18,A34,1295,A61,A72,4,A92,1,27,A143,2,A173,0
A12,36,A32,12612,A62,A73,1,A93,4,47,A143,1,A173,1
A11,18,A32,2249,A62,A74,4,A93,3,30,A143,1,A174,0
A11,12,A30,1108,A61,A74,4,A93,3,28,A143,2,A173,1
A14,12,A34,618,A61,A75,4,A93,4,56,A143,1,A173,0
A11,12,A34,1409,A61,A75,4,A93,3,54,A143,1,A173,0
A14,12,A34,797,A65,A75,4,A92,3,33,A141,1,A172,1
A13,24,A34,3617,A65,A75,4,A93,4,20,A143,2,A173,0
A12,12,A32,1318,A64,A75,4,A93,4,54,A143,1,A173,0
A12,54,A30,15945,A61,A72,3,A93,4,58,A143,1,A173,1
A14,12,A34,2012,A65,A74,4,A92,2,61,A143,1,A173,0
A12,18,A32,2622,A62,A73,4,A93,4,34,A143,1,A173,0
A12,36,A34,2337,A61,A75,4,A93,4,36,A143,1,A173,0
A12,20,A33,7057,A65,A74,3,A93,4,36,A141,2,A174,0
A14,24,A32,1469,A62,A75,4,A94,4,41,A143,1,A172,0
A12,36,A32,2323,A61,A74,4,A93,4,24,A143,1,A173,0
A14,6,A33,932,A61,A73,3,A92,2,24,A143,1,A173,0
A12,9,A34,1919,A61,A74,4,A93,3,35,A143,1,A173,0
A14,12,A32,2445,A65,A72,2,A94,4,26,A143,1,A173,0
A12,24,A34,11938,A61,A73,2,A93,3,39,A143,2,A174,1
A14,18,A31,6458,A61,A75,2,A93,4,39,A141,2,A174,1
A12,12,A32,6078,A61,A74,2,A93,2,32,A143,1,A173,0
A11,24,A32,7721,A65,A72,1,A92,2,30,A143,1,A173,0
A12,14,A32,1410,A63,A75,1,A94,2,35,A143,1,A173,0
A12,6,A33,1449,A62,A75,1,A91,2,31,A141,2,A173,0
A13,15,A32,392,A61,A72,4,A92,4,23,A143,1,A173,0
A12,18,A32,6260,A61,A74,3,A93,3,28,A143,1,A172,0
A14,36,A34,7855,A61,A73,4,A92,2,25,A142,2,A173,1
A11,12,A32,1680,A63,A75,3,A94,1,35,A143,1,A173,0
A14,48,A34,3578,A65,A75,4,A93,1,47,A143,1,A173,0
A11,42,A32,7174,A65,A74,4,A92,3,30,A143,1,A174,1
A11,10,A34,2132,A65,A72,2,A92,3,27,A143,2,A173,0
A11,33,A34,4281,A63,A73,1,A92,4,23,A143,2,A173,1
A12,12,A34,2366,A63,A74,3,A91,3,36,A143,1,A174,0
A11,21,A32,1835,A61,A73,3,A92,2,25,A143,2,A173,1
A14,24,A34,3868,A61,A75,4,A92,2,41,A143,2,A174,0
A14,12,A32,1768,A61,A73,3,A93,2,24,A143,1,A172,0
A13,10,A34,781,A61,A75,4,A93,4,63,A143,2,A173,0
A12,18,A32,1924,A65,A72,4,A92,3,27,A143,1,A173,1
A11,12,A34,2121,A61,A73,4,A93,2,30,A143,2,A173,0
A11,12,A32,701,A61,A73,4,A94,2,40,A143,1,A172,0
A12,12,A32,639,A61,A73,4,A93,2,30,A143,1,A173,1
A12,12,A34,1860,A61,A71,4,A93,2,34,A143,2,A174,0
A11,12,A34,3499,A61,A73,3,A92,2,29,A143,2,A173,1
A12,48,A32,8487,A65,A74,1,A92,2,24,A143,1,A173,0
A11,36,A33,6887,A61,A73,4,A93,3,29,A142,1,A173,1
A14,15,A32,2708,A61,A72,2,A93,3,27,A141,2,A172,0
A14,18,A32,1984,A61,A73,4,A93,4,47,A141,2,A173,0
A14,60,A32,10144,A62,A74,2,A92,4,21,A143,1,A173,0
A14,12,A34,1240,A65,A75,4,A92,2,38,A143,2,A173,0
A14,27,A33,8613,A64,A73,2,A93,2,27,A143,2,A173,0
A12,12,A32,766,A63,A73,4,A93,3,66,A143,1,A172,1
A12,15,A34,2728,A65,A74,4,A93,2,35,A141,3,A173,0
A13,12,A32,1881,A61,A73,2,A92,2,44,A143,1,A172,0
A13,6,A32,709,A64,A72,2,A94,2,27,A143,1,A171,0
A12,36,A32,4795,A61,A72,4,A92,1,30,A143,1,A174,0
A11,27,A32,3416,A61,A73,3,A93,2,27,A143,1,A174,0
A11,18,A32,2462,A61,A73,2,A93,2,22,A143,1,A173,1
A14,21,A34,2288,A61,A72,4,A92,4,23,A143,1,A173,0
A12,48,A31,3566,A62,A74,4,A93,2,30,A143,1,A173,0
A11,6,A34,860,A61,A75,1,A92,4,39,A143,2,A173,0
A14,12,A34,682,A62,A74,4,A92,3,51,A143,2,A173,0
A11,36,A34,5371,A61,A73,3,A93,2,28,A143,2,A173,0
A14,18,A34,1582,A64,A75,4,A93,4,46,A143,2,A173,0
A14,6,A32,1346,A62,A75,2,A93,4,42,A141,1,A173,0
A14,10,A32,1924,A61,A73,1,A93,4,38,A143,1,A173,0
A13,36,A32,5848,A61,A73,4,A93,1,24,A143,1,A173,0
A12,24,A34,7758,A64,A75,2,A92,4,29,A143,1,A173,0
A12,24,A33,6967,A62,A74,4,A93,4,36,A143,1,A174,0
A11,12,A32,1282,A61,A73,2,A92,4,20,A143,1,A173,1
A11,9,A34,1288,A62,A75,3,A93,4,48,A143,2,A173,0
A11,12,A31,339,A61,A75,4,A94,1,45,A141,1,A172,0
A12,24,A32,3512,A62,A74,2,A93,3,38,A141,2,A173,0
A14,6,A34,1898,A65,A73,1,A93,2,34,A143,2,A172,0
A14,24,A34,2872,A62,A75,3,A93,4,36,A143,1,A173,0
A14,18,A34,1055,A61,A72,4,A92,1,30,A143,2,A173,0
A14,15,A32,1262,A63,A74,4,A93,3,36,A143,2,A173,0
A12,10,A32,7308,A61,A71,2,A93,4,70,A141,1,A174,0
A14,36,A32,909,A63,A75,4,A93,4,36,A143,1,A173,0
A14,6,A32,2978,A63,A73,1,A93,2,32,A143,1,A173,0
A11,18,A32,1131,A61,A71,4,A92,2,33,A143,1,A173,1
A12,11,A32,1577,A64,A72,4,A92,1,20,A143,1,A173,0
A14,24,A32,3972,A61,A74,2,A92,4,25,A143,1,A173,0
A12,24,A34,1935,A61,A75,4,A91,4,31,A143,2,A173,1
A11,15,A30,950,A61,A75,4,A93,3,33,A143,2,A173,1
A14,12,A32,763,A61,A73,4,A92,1,26,A143,1,A173,0
A12,24,A33,2064,A61,A71,3,A92,2,34,A143,1,A174,1
A12,8,A32,1414,A61,A73,4,A93,2,33,A143,1,A173,0
A11,21,A33,3414,A61,A72,2,A93,1,26,A143,2,A173,1
A14,30,A31,7485,A65,A71,4,A92,1,53,A141,1,A174,1
A11,12,A32,2577,A61,A73,2,A91,1,42,A143,1,A173,0
A11,6,A34,338,A63,A75,4,A93,4,52,A143,2,A173,0
A14,12,A32,1963,A61,A74,4,A93,2,31,A143,2,A174,0
A11,21,A34,571,A61,A75,4,A93,4,65,A143,2,A173,0
A14,36,A33,9572,A61,A72,1,A91,1,28,A143,2,A173,1
A12,36,A33,4455,A61,A73,2,A91,2,30,A142,2,A174,1
A11,21,A31,1647,A65,A73,4,A93,2,40,A143,2,A172,1
A14,24,A34,3777,A64,A73,4,A93,4,50,A143,1,A173,0
A12,18,A34,884,A61,A75,4,A93,4,36,A141,1,A173,1
A14,15,A34,1360,A61,A73,4,A93,2,31,A143,2,A173,0
A12,9,A31,5129,A61,A75,2,A92,4,74,A141,1,A174,1
A12,16,A34,1175,A61,A71,2,A93,3,68,A143,3,A171,0
A11,12,A32,674,A62,A74,4,A94,1,20,A143,1,A173,1
A12,18,A30,3244,A61,A73,1,A92,4,33,A141,2,A173,0
A14,24,A32,4591,A64,A73,2,A93,3,54,A143,3,A174,1
A12,48,A30,3844,A62,A74,4,A93,4,34,A143,1,A172,1
A12,27,A32,3915,A61,A73,4,A93,2,36,A143,1,A173,1
A14,6,A32,2108,A61,A74,2,A94,2,29,A143,1,A173,0
A12,45,A32,3031,A62,A73,4,A93,4,21,A143,1,A173,1
A12,9,A34,1501,A61,A75,2,A92,3,34,A143,2,A174,1
A14,6,A34,1382,A61,A73,1,A92,1,28,A143,2,A173,0
A12,12,A32,951,A62,A72,4,A92,4,27,A141,4,A173,1
A12,24,A32,2760,A65,A75,4,A93,4,36,A141,1,A173,0
A12,18,A33,4297,A61,A75,4,A91,3,40,A143,1,A174,1
A14,9,A34,936,A63,A75,4,A93,2,52,A143,2,A173,0
A11,12,A32,1168,A61,A73,4,A94,3,27,A143,1,A172,0
A14,27,A33,5117,A61,A74,3,A93,4,26,A143,2,A173,0
A11,12,A32,902,A61,A74,4,A94,4,21,A143,1,A173,1
A14,12,A34,1495,A61,A75,4,A93,1,38,A143,2,A172,0
A11,30,A34,10623,A61,A75,3,A93,4,38,A143,3,A174,0
A14,12,A34,1935,A61,A75,4,A93,4,43,A143,3,A173,0
A12,12,A34,1424,A61,A74,4,A93,3,26,A143,1,A173,0
A11,24,A32,6568,A61,A73,2,A94,2,21,A142,1,A172,0
A14,12,A32,1413,A64,A74,3,A93,2,55,A143,1,A173,0
A14,9,A34,3074,A65,A73,1,A93,2,33,A143,2,A173,0
A14,36,A32,3835,A65,A75,2,A92,4,45,A143,1,A172,0
A11,27,A30,5293,A61,A71,2,A93,4,50,A142,2,A173,1
A13,30,A33,1908,A61,A75,4,A93,4,66,A143,1,A174,1
A14,36,A34,3342,A65,A75,4,A93,2,51,A143,1,A173,0
A12,6,A34,932,A65,A74,1,A92,3,39,A143,2,A172,0
A11,18,A30,3104,A61,A74,3,A93,1,31,A141,1,A173,0
A13,36,A32,3913,A61,A73,2,A93,2,23,A143,1,A173,0
A11,24,A32,3021,A61,A73,2,A91,2,24,A143,1,A172,0
A14,10,A32,1364,A61,A73,2,A92,4,64,A143,1,A173,0
A12,12,A32,625,A61,A72,4,A94,1,26,A141,1,A172,0
A11,12,A32,1200,A65,A73,4,A92,4,23,A141,1,A173,0
A14,12,A32,707,A61,A73,4,A93,2,30,A141,2,A173,0
A14,24,A33,2978,A65,A73,4,A93,4,32,A143,2,A173,0
A14,15,A32,4657,A61,A73,3,A93,2,30,A143,1,A173,0
A14,36,A30,2613,A61,A73,4,A93,2,27,A143,2,A173,0
A12,48,A32,10961,A64,A74,1,A93,2,27,A141,2,A173,1
A11,12,A32,7865,A61,A75,4,A93,4,53,A143,1,A174,1
A14,9,A32,1478,A61,A74,4,A93,2,22,A143,1,A173,1
A11,24,A32,3149,A61,A72,4,A93,1,22,A141,1,A173,0
A13,36,A32,4210,A61,A73,4,A93,2,26,A143,1,A173,1
A14,9,A32,2507,A63,A75,2,A93,4,51,A143,1,A172,0
A14,12,A32,2141,A62,A74,3,A93,1,35,A143,1,A173,0
A12,18,A32,866,A61,A73,4,A94,2,25,A143,1,A172,0
A14,4,A34,1544,A61,A74,2,A93,1,42,A143,3,A172,0
A11,24,A32,1823,A61,A71,4,A93,2,30,A142,1,A174,1
A12,6,A32,14555,A65,A71,1,A93,2,23,A143,1,A171,1
A12,21,A32,2767,A62,A75,4,A91,2,61,A141,2,A172,1
A14,12,A34,1291,A61,A73,4,A92,2,35,A143,2,A173,0
A11,30,A32,2522,A61,A75,1,A93,3,39,A143,1,A173,0
A11,24,A32,915,A65,A75,4,A92,2,29,A141,1,A173,1
A14,6,A32,1595,A61,A74,3,A93,2,51,A143,1,A173,0
A11,48,A30,4605,A61,A75,3,A93,4,24,A143,2,A173,1
A14,12,A34,1185,A61,A73,3,A92,2,27,A143,2,A173,0
A14,12,A31,3447,A63,A73,4,A92,3,35,A143,1,A172,0
A14,24,A32,1258,A61,A74,4,A93,1,25,A143,1,A173,0
A14,12,A34,717,A61,A75,4,A93,4,52,A143,3,A173,0
A14,6,A30,1204,A62,A73,4,A93,1,35,A141,1,A173,0
A13,24,A32,1925,A61,A73,2,A93,2,26,A143,1,A173,0
A14,18,A32,433,A61,A71,3,A92,4,22,A143,1,A173,1
A11,6,A34,666,A64,A74,3,A92,4,39,A143,2,A172,0
A13,12,A32,2251,A61,A73,1,A92,2,46,A143,1,A172,0
A12,30,A32,2150,A61,A73,4,A92,2,24,A141,1,A173,1
A14,24,A33,4151,A62,A73,2,A93,3,35,A143,2,A173,0
A12,9,A32,2030,A65,A74,2,A93,1,24,A143,1,A173,0
A12,60,A33,7418,A65,A73,1,A93,1,27,A143,1,A172,0
A14,24,A34,2684,A61,A73,4,A93,2,35,A143,2,A172,0
A11,12,A31,2149,A61,A73,4,A91,1,29,A143,1,A173,1
A14,15,A32,3812,A62,A72,1,A92,4,23,A143,1,A173,0
A14,11,A34,1154,A62,A71,4,A92,4,57,A143,3,A172,0
A11,12,A32,1657,A61,A73,2,A93,2,27,A143,1,A173,0
A11,24,A32,1603,A61,A75,4,A92,4,55,A143,1,A173,0
A11,18,A34,5302,A61,A75,2,A93,4,36,A143,3,A174,0
A14,12,A34,2748,A61,A75,2,A92,4,57,A141,3,A172,0
A14,10,A34,1231,A61,A75,3,A93,4,32,A143,2,A172,0
A12,15,A32,802,A61,A75,4,A93,3,37,A143,1,A173,1
A14,36,A34,6304,A65,A75,4,A93,4,36,A143,2,A173,0
A14,24,A32,1533,A61,A72,4,A92,3,38,A142,1,A173,0
A11,14,A32,8978,A61,A75,1,A91,4,45,A143,1,A174,1
A14,24,A32,999,A65,A75,4,A93,2,25,A143,2,A173,0
A14,18,A32,2662,A65,A74,4,A93,3,32,A143,1,A173,0
A14,12,A34,1402,A63,A74,3,A92,4,37,A143,1,A173,0
A12,48,A31,12169,A65,A71,4,A93,4,36,A143,1,A174,0
A12,48,A32,3060,A61,A74,4,A93,4,28,A143,2,A173,1
A11,30,A32,11998,A61,A72,1,A91,1,34,A143,1,A172,1
A14,9,A32,2697,A61,A73,1,A93,2,32,A143,1,A173,0
A14,18,A34,2404,A61,A73,2,A92,2,26,A143,2,A173,0
A11,12,A32,1262,A65,A75,2,A91,4,49,A143,1,A172,0
A14,6,A32,4611,A61,A72,1,A92,4,32,A143,1,A173,1
A14,24,A32,1901,A62,A73,4,A93,4,29,A143,1,A174,0
A14,15,A34,3368,A64,A75,3,A93,4,23,A143,2,A173,0
A14,12,A32,1574,A61,A73,4,A93,2,50,A143,1,A173,0
A13,18,A31,1445,A65,A74,4,A93,4,49,A141,1,A172,0
A14,15,A34,1520,A65,A75,4,A93,4,63,A143,1,A173,0
A12,24,A34,3878,A62,A72,4,A91,2,37,A143,1,A173,0
A11,47,A32,10722,A61,A72,1,A92,1,35,A143,1,A172,0
A11,48,A32,4788,A61,A74,4,A93,3,26,A143,1,A173,0
A12,48,A33,7582,A62,A71,2,A93,4,31,A143,1,A174,0
A12,12,A32,1092,A61,A73,4,A92,4,49,A143,2,A173,0
A11,24,A33,1024,A61,A72,4,A94,4,48,A142,1,A173,1
A14,12,A32,1076,A61,A73,2,A94,2,26,A143,1,A173,0
A12,36,A32,9398,A61,A72,1,A94,4,28,A143,1,A174,1
A11,24,A34,6419,A61,A75,2,A92,4,44,A143,2,A174,0
A13,42,A34,4796,A61,A75,4,A93,4,56,A143,1,A173,0
A14,48,A34,7629,A65,A75,4,A91,2,46,A141,2,A174,0
A12,48,A32,9960,A61,A72,1,A92,2,26,A143,1,A173,1
A14,12,A32,4675,A65,A72,1,A92,4,20,A143,1,A173,0
A14,10,A32,1287,A65,A75,4,A93,2,45,A143,1,A172,0
A14,18,A32,2515,A61,A73,3,A93,4,43,A143,1,A173,0
A12,21,A34,2745,A64,A74,3,A93,2,32,A143,2,A173,0
A14,6,A32,672,A61,A71,1,A92,4,54,A143,1,A171,0
A12,36,A30,3804,A61,A73,4,A92,1,42,A143,1,A173,1
A13,24,A34,1344,A65,A74,4,A93,2,37,A141,2,A172,1
A11,10,A34,1038,A61,A74,4,A93,3,49,A143,2,A173,0
A14,48,A34,10127,A63,A73,2,A93,2,44,A141,1,A173,1
A14,6,A32,1543,A64,A73,4,A91,2,33,A143,1,A173,0
A14,30,A32,4811,A65,A74,2,A92,4,24,A142,1,A172,0
A11,12,A32,727,A62,A72,4,A94,3,33,A143,1,A172,1
A12,8,A32,1237,A61,A73,3,A92,4,24,A143,1,A173,1
A12,9,A32,276,A61,A73,4,A94,4,22,A143,1,A172,0
A12,48,A32,5381,A65,A71,3,A93,4,40,A141,1,A171,0
A14,24,A32,5511,A62,A73,4,A93,1,25,A142,1,A173,0
A13,24,A32,3749,A61,A72,2,A92,4,26,A143,1,A173,0
A12,12,A32,685,A61,A74,2,A94,3,25,A141,1,A172,1
A13,4,A32,1494,A65,A72,1,A93,2,29,A143,1,A172,0
A11,36,A31,2746,A61,A75,4,A93,4,31,A141,1,A173,1
A11,12,A32,708,A61,A73,2,A93,3,38,A143,1,A172,0
A12,24,A32,4351,A65,A73,1,A92,4,48,A143,1,A172,0
A14,12,A34,701,A61,A73,4,A93,2,32,A143,2,A173,0
A11,15,A33,3643,A61,A75,1,A92,4,27,A143,2,A172,0
A12,30,A34,4249,A61,A71,4,A94,2,28,A143,2,A174,1
A11,24,A32,1938,A61,A72,4,A91,3,32,A143,1,A173,1
A11,24,A32,2910,A61,A74,2,A93,1,34,A143,1,A174,0
A11,18,A32,2659,A64,A73,4,A93,2,28,A143,1,A173,0
A14,18,A34,1028,A61,A73,4,A92,3,36,A143,2,A173,0
A11,8,A34,3398,A61,A74,1,A93,4,39,A143,2,A172,0
A14,12,A34,5801,A65,A75,2,A93,4,49,A143,1,A173,0
A14,24,A32,1525,A64,A74,4,A92,3,34,A143,1,A173,0
A13,36,A32,4473,A61,A75,4,A93,2,31,A143,1,A173,0
A12,6,A32,1068,A61,A75,4,A93,4,28,A143,1,A173,0
A11,24,A34,6615,A61,A71,2,A93,4,75,A143,2,A174,0
