,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,ID,Reason for absence,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Pet,Weight,Height,Body mass index,Absenteeism time in hours
1,11,26,7,3,1,289,36,13,33,"239,554",97,0,1,2,1,0,1,90,172,30,4
2,36,0,7,3,1,118,13,18,50,"239,554",97,1,1,1,1,0,0,98,178,31,0
3,3,23,7,4,1,179,51,18,38,"239,554",97,0,1,0,1,0,0,89,170,31,2
4,7,7,7,5,1,279,5,14,39,"239,554",97,0,1,2,1,1,0,68,168,24,4
5,11,23,7,5,1,289,36,13,33,"239,554",97,0,1,2,1,0,1,90,172,30,2
6,3,23,7,6,1,179,51,18,38,"239,554",97,0,1,0,1,0,0,89,170,31,2
7,10,22,7,6,1,361,52,3,28,"239,554",97,0,1,1,1,0,4,80,172,27,8
8,20,23,7,6,1,260,50,11,36,"239,554",97,0,1,4,1,0,0,65,168,23,4
9,14,19,7,2,1,155,12,14,34,"239,554",97,0,1,2,1,0,0,95,196,25,40
10,1,22,7,2,1,235,11,14,37,"239,554",97,0,3,1,0,0,1,88,172,29,8
11,20,1,7,2,1,260,50,11,36,"239,554",97,0,1,4,1,0,0,65,168,23,8
12,20,1,7,3,1,260,50,11,36,"239,554",97,0,1,4,1,0,0,65,168,23,8
13,20,11,7,4,1,260,50,11,36,"239,554",97,0,1,4,1,0,0,65,168,23,8
14,3,11,7,4,1,179,51,18,38,"239,554",97,0,1,0,1,0,0,89,170,31,1
15,3,23,7,4,1,179,51,18,38,"239,554",97,0,1,0,1,0,0,89,170,31,4
16,24,14,7,6,1,246,25,16,41,"239,554",97,0,1,0,1,0,0,67,170,23,8
17,3,23,7,6,1,179,51,18,38,"239,554",97,0,1,0,1,0,0,89,170,31,2
18,3,21,7,2,1,179,51,18,38,"239,554",97,0,1,0,1,0,0,89,170,31,8
19,6,11,7,5,1,189,29,13,33,"239,554",97,0,1,2,0,0,2,69,167,25,8
20,33,23,8,4,1,248,25,14,47,"205,917",92,0,1,2,0,0,1,86,165,32,2
21,18,10,8,4,1,330,16,4,28,"205,917",92,0,2,0,0,0,0,84,182,25,8
22,3,11,8,2,1,179,51,18,38,"205,917",92,0,1,0,1,0,0,89,170,31,1
23,10,13,8,2,1,361,52,3,28,"205,917",92,0,1,1,1,0,4,80,172,27,40
24,20,28,8,6,1,260,50,11,36,"205,917",92,0,1,4,1,0,0,65,168,23,4
25,11,18,8,2,1,289,36,13,33,"205,917",92,0,1,2,1,0,1,90,172,30,8
26,10,25,8,2,1,361,52,3,28,"205,917",92,0,1,1,1,0,4,80,172,27,7
27,11,23,8,3,1,289,36,13,33,"205,917",92,0,1,2,1,0,1,90,172,30,1
28,30,28,8,4,1,157,27,6,29,"205,917",92,0,1,0,1,1,0,75,185,22,4
29,11,18,8,4,1,289,36,13,33,"205,917",92,0,1,2,1,0,1,90,172,30,8
30,3,23,8,6,1,179,51,18,38,"205,917",92,0,1,0,1,0,0,89,170,31,2
31,3,18,8,2,1,179,51,18,38,"205,917",92,0,1,0,1,0,0,89,170,31,8
32,2,18,8,5,1,235,29,12,48,"205,917",92,0,1,1,0,1,5,88,163,33,8
33,1,23,8,5,1,235,11,14,37,"205,917",92,0,3,1,0,0,1,88,172,29,4
34,2,18,8,2,1,235,29,12,48,"205,917",92,0,1,1,0,1,5,88,163,33,8
35,3,23,8,2,1,179,51,18,38,"205,917",92,0,1,0,1,0,0,89,170,31,2
36,10,23,8,2,1,361,52,3,28,"205,917",92,0,1,1,1,0,4,80,172,27,1
37,11,24,8,3,1,289,36,13,33,"205,917",92,0,1,2,1,0,1,90,172,30,8
38,19,11,8,5,1,291,50,12,32,"205,917",92,0,1,0,1,0,0,65,169,23,4
39,2,28,8,6,1,235,29,12,48,"205,917",92,0,1,1,0,1,5,88,163,33,8
40,20,23,8,6,1,260,50,11,36,"205,917",92,0,1,4,1,0,0,65,168,23,4
41,27,23,9,3,1,184,42,7,27,"241,476",92,0,1,0,0,0,0,58,167,21,2
42,34,23,9,2,1,118,10,10,37,"241,476",92,0,1,0,0,0,0,83,172,28,4
43,3,23,9,3,1,179,51,18,38,"241,476",92,0,1,0,1,0,0,89,170,31,4
44,5,19,9,3,1,235,20,13,43,"241,476",92,0,1,1,1,0,0,106,167,38,8
45,14,23,9,4,1,155,12,14,34,"241,476",92,0,1,2,1,0,0,95,196,25,2
46,34,23,9,2,1,118,10,10,37,"241,476",92,0,1,0,0,0,0,83,172,28,3
47,3,23,9,3,1,179,51,18,38,"241,476",92,0,1,0,1,0,0,89,170,31,3
48,15,23,9,5,1,291,31,12,40,"241,476",92,0,1,1,1,0,1,73,171,25,4
49,20,22,9,6,1,260,50,11,36,"241,476",92,0,1,4,1,0,0,65,168,23,8
50,15,14,9,2,4,291,31,12,40,"241,476",92,0,1,1,1,0,1,73,171,25,32
51,20,0,9,2,4,260,50,11,36,"241,476",92,1,1,4,1,0,0,65,168,23,0
52,29,0,9,2,4,225,26,9,28,"241,476",92,1,1,1,0,0,2,69,169,24,0
53,28,23,9,3,4,225,26,9,28,"241,476",92,0,1,1,0,0,2,69,169,24,2
54,34,23,9,3,4,118,10,10,37,"241,476",92,0,1,0,0,0,0,83,172,28,2
55,11,0,9,3,4,289,36,13,33,"241,476",92,1,1,2,1,0,1,90,172,30,0
56,36,0,9,3,4,118,13,18,50,"241,476",92,1,1,1,1,0,0,98,178,31,0
57,28,18,9,4,4,225,26,9,28,"241,476",92,0,1,1,0,0,2,69,169,24,3
58,3,23,9,4,4,179,51,18,38,"241,476",92,0,1,0,1,0,0,89,170,31,3
59,13,0,9,4,4,369,17,12,31,"241,476",92,1,1,3,1,0,0,70,169,25,0
60,33,23,9,6,4,248,25,14,47,"241,476",92,0,1,2,0,0,1,86,165,32,1
61,3,23,9,6,4,179,51,18,38,"241,476",92,0,1,0,1,0,0,89,170,31,3
62,20,23,9,6,4,260,50,11,36,"241,476",92,0,1,4,1,0,0,65,168,23,4
63,3,23,10,3,4,179,51,18,38,"253,465",93,0,1,0,1,0,0,89,170,31,3
64,34,23,10,3,4,118,10,10,37,"253,465",93,0,1,0,0,0,0,83,172,28,3
65,36,0,10,4,4,118,13,18,50,"253,465",93,1,1,1,1,0,0,98,178,31,0
66,22,23,10,5,4,179,26,9,30,"253,465",93,0,3,0,0,0,0,56,171,19,1
67,3,23,10,6,4,179,51,18,38,"253,465",93,0,1,0,1,0,0,89,170,31,3
68,28,23,10,6,4,225,26,9,28,"253,465",93,0,1,1,0,0,2,69,169,24,3
69,34,23,10,3,4,118,10,10,37,"253,465",93,0,1,0,0,0,0,83,172,28,3
70,28,23,10,4,4,225,26,9,28,"253,465",93,0,1,1,0,0,2,69,169,24,2
71,33,23,10,4,4,248,25,14,47,"253,465",93,0,1,2,0,0,1,86,165,32,2
72,15,23,10,5,4,291,31,12,40,"253,465",93,0,1,1,1,0,1,73,171,25,5
73,3,23,10,4,4,179,51,18,38,"253,465",93,0,1,0,1,0,0,89,170,31,8
74,28,23,10,4,4,225,26,9,28,"253,465",93,0,1,1,0,0,2,69,169,24,3
75,20,19,10,5,4,260,50,11,36,"253,465",93,0,1,4,1,0,0,65,168,23,16
76,15,14,10,3,4,291,31,12,40,"253,465",93,0,1,1,1,0,1,73,171,25,8
77,28,28,10,3,4,225,26,9,28,"253,465",93,0,1,1,0,0,2,69,169,24,2
78,11,26,10,4,4,289,36,13,33,"253,465",93,0,1,2,1,0,1,90,172,30,8
79,10,23,10,6,4,361,52,3,28,"253,465",93,0,1,1,1,0,4,80,172,27,1
80,20,28,10,6,4,260,50,11,36,"253,465",93,0,1,4,1,0,0,65,168,23,3
81,3,23,11,5,4,179,51,18,38,"306,345",93,0,1,0,1,0,0,89,170,31,1
82,28,23,11,4,4,225,26,9,28,"306,345",93,0,1,1,0,0,2,69,169,24,1
83,3,13,11,5,4,179,51,18,38,"306,345",93,0,1,0,1,0,0,89,170,31,8
84,17,21,11,5,4,179,22,17,40,"306,345",93,0,2,2,0,1,0,63,170,22,8
85,15,23,11,5,4,291,31,12,40,"306,345",93,0,1,1,1,0,1,73,171,25,5
86,14,10,11,2,4,155,12,14,34,"306,345",93,0,1,2,1,0,0,95,196,25,32
87,6,22,11,2,4,189,29,13,33,"306,345",93,0,1,2,0,0,2,69,167,25,8
88,15,14,11,2,4,291,31,12,40,"306,345",93,0,1,1,1,0,1,73,171,25,40
89,28,23,11,4,4,225,26,9,28,"306,345",93,0,1,1,0,0,2,69,169,24,1
90,14,6,11,6,4,155,12,14,34,"306,345",93,0,1,2,1,0,0,95,196,25,8
91,28,23,11,4,4,225,26,9,28,"306,345",93,0,1,1,0,0,2,69,169,24,3
92,17,21,11,4,4,179,22,17,40,"306,345",93,0,2,2,0,1,0,63,170,22,8
93,28,13,11,6,4,225,26,9,28,"306,345",93,0,1,1,0,0,2,69,169,24,3
94,20,28,11,6,4,260,50,11,36,"306,345",93,0,1,4,1,0,0,65,168,23,4
95,33,28,11,2,4,248,25,14,47,"306,345",93,0,1,2,0,0,1,86,165,32,1
96,28,28,11,3,4,225,26,9,28,"306,345",93,0,1,1,0,0,2,69,169,24,3
97,11,7,11,4,4,289,36,13,33,"306,345",93,0,1,2,1,0,1,90,172,30,24
98,15,23,11,5,4,291,31,12,40,"306,345",93,0,1,1,1,0,1,73,171,25,3
99,33,23,12,3,4,248,25,14,47,"261,306",97,0,1,2,0,0,1,86,165,32,1
100,34,19,12,3,4,118,10,10,37,"261,306",97,0,1,0,0,0,0,83,172,28,64
101,36,23,12,4,4,118,13,18,50,"261,306",97,0,1,1,1,0,0,98,178,31,2
102,1,26,12,4,4,235,11,14,37,"261,306",97,0,3,1,0,0,1,88,172,29,8
103,28,23,12,5,4,225,26,9,28,"261,306",97,0,1,1,0,0,2,69,169,24,2
104,20,26,12,6,4,260,50,11,36,"261,306",97,0,1,4,1,0,0,65,168,23,8
105,34,19,12,3,4,118,10,10,37,"261,306",97,0,1,0,0,0,0,83,172,28,56
106,10,22,12,4,4,361,52,3,28,"261,306",97,0,1,1,1,0,4,80,172,27,8
107,28,28,12,5,4,225,26,9,28,"261,306",97,0,1,1,0,0,2,69,169,24,3
108,20,28,12,6,4,260,50,11,36,"261,306",97,0,1,4,1,0,0,65,168,23,3
109,28,23,12,3,4,225,26,9,28,"261,306",97,0,1,1,0,0,2,69,169,24,2
110,10,22,12,4,4,361,52,3,28,"261,306",97,0,1,1,1,0,4,80,172,27,8
111,34,27,12,6,4,118,10,10,37,"261,306",97,0,1,0,0,0,0,83,172,28,2
112,24,19,12,6,2,246,25,16,41,"261,306",97,0,1,0,1,0,0,67,170,23,8
113,28,23,12,6,2,225,26,9,28,"261,306",97,0,1,1,0,0,2,69,169,24,2
114,28,23,1,4,2,225,26,9,28,"308,593",95,0,1,1,0,0,2,69,169,24,1
115,34,19,1,2,2,118,10,10,37,"308,593",95,0,1,0,0,0,0,83,172,28,1
116,34,27,1,3,2,118,10,10,37,"308,593",95,0,1,0,0,0,0,83,172,28,1
117,14,18,1,3,2,155,12,14,34,"308,593",95,0,1,2,1,0,0,95,196,25,8
118,28,27,1,4,2,225,26,9,28,"308,593",95,0,1,1,0,0,2,69,169,24,2
119,27,23,1,5,2,184,42,7,27,"308,593",95,0,1,0,0,0,0,58,167,21,2
120,28,28,1,5,2,225,26,9,28,"308,593",95,0,1,1,0,0,2,69,169,24,2
121,28,27,1,6,2,225,26,9,28,"308,593",95,0,1,1,0,0,2,69,169,24,1
122,34,27,1,2,2,118,10,10,37,"308,593",95,0,1,0,0,0,0,83,172,28,2
123,28,27,1,3,2,225,26,9,28,"308,593",95,0,1,1,0,0,2,69,169,24,2
124,34,27,1,3,2,118,10,10,37,"308,593",95,0,1,0,0,0,0,83,172,28,2
125,34,27,1,4,2,118,10,10,37,"308,593",95,0,1,0,0,0,0,83,172,28,2
126,34,27,1,5,2,118,10,10,37,"308,593",95,0,1,0,0,0,0,83,172,28,2
127,34,27,1,6,2,118,10,10,37,"308,593",95,0,1,0,0,0,0,83,172,28,2
128,34,27,1,2,2,118,10,10,37,"308,593",95,0,1,0,0,0,0,83,172,28,2
129,34,27,1,3,2,118,10,10,37,"308,593",95,0,1,0,0,0,0,83,172,28,2
130,22,18,1,3,2,179,26,9,30,"308,593",95,0,3,0,0,0,0,56,171,19,8
131,11,18,1,3,2,289,36,13,33,"308,593",95,0,1,2,1,0,1,90,172,30,8
132,34,27,1,4,2,118,10,10,37,"308,593",95,0,1,0,0,0,0,83,172,28,2
133,27,23,1,5,2,184,42,7,27,"308,593",95,0,1,0,0,0,0,58,167,21,2
134,34,27,1,5,2,118,10,10,37,"308,593",95,0,1,0,0,0,0,83,172,28,2
135,34,27,1,2,2,118,10,10,37,"308,593",95,0,1,0,0,0,0,83,172,28,0
136,28,23,1,3,2,225,26,9,28,"308,593",95,0,1,1,0,0,2,69,169,24,1
137,11,22,1,5,2,289,36,13,33,"308,593",95,0,1,2,1,0,1,90,172,30,3
138,27,23,2,6,2,184,42,7,27,"302,585",99,0,1,0,0,0,0,58,167,21,1
139,24,1,2,4,2,246,25,16,41,"302,585",99,0,1,0,1,0,0,67,170,23,8
140,3,11,2,4,2,179,51,18,38,"302,585",99,0,1,0,1,0,0,89,170,31,8
141,14,28,2,5,2,155,12,14,34,"302,585",99,0,1,2,1,0,0,95,196,25,2
142,6,23,2,5,2,189,29,13,33,"302,585",99,0,1,2,0,0,2,69,167,25,8
143,20,28,2,6,2,260,50,11,36,"302,585",99,0,1,4,1,0,0,65,168,23,2
144,11,22,2,6,2,289,36,13,33,"302,585",99,0,1,2,1,0,1,90,172,30,8
145,31,11,2,2,2,388,15,9,50,"302,585",99,0,1,0,0,0,0,76,178,24,8
146,31,1,2,3,2,388,15,9,50,"302,585",99,0,1,0,0,0,0,76,178,24,8
147,28,28,2,2,2,225,26,9,28,"302,585",99,0,1,1,0,0,2,69,169,24,2
148,28,23,2,3,2,225,26,9,28,"302,585",99,0,1,1,0,0,2,69,169,24,2
149,22,23,2,3,2,179,26,9,30,"302,585",99,0,3,0,0,0,0,56,171,19,1
150,27,23,2,3,2,184,42,7,27,"302,585",99,0,1,0,0,0,0,58,167,21,8
151,28,25,2,5,2,225,26,9,28,"302,585",99,0,1,1,0,0,2,69,169,24,3
152,18,18,2,2,2,330,16,4,28,"302,585",99,0,2,0,0,0,0,84,182,25,8
153,18,23,2,3,2,330,16,4,28,"302,585",99,0,2,0,0,0,0,84,182,25,1
154,28,23,2,4,2,225,26,9,28,"302,585",99,0,1,1,0,0,2,69,169,24,1
155,6,19,2,5,2,189,29,13,33,"302,585",99,0,1,2,0,0,2,69,167,25,8
156,19,28,3,3,2,291,50,12,32,"343,253",95,0,1,0,1,0,0,65,169,23,2
157,20,19,3,3,2,260,50,11,36,"343,253",95,0,1,4,1,0,0,65,168,23,8
158,30,19,3,3,2,157,27,6,29,"343,253",95,0,1,0,1,1,0,75,185,22,3
159,17,17,3,3,2,179,22,17,40,"343,253",95,0,2,2,0,1,0,63,170,22,8
160,15,22,3,4,2,291,31,12,40,"343,253",95,0,1,1,1,0,1,73,171,25,8
161,20,13,3,4,2,260,50,11,36,"343,253",95,0,1,4,1,0,0,65,168,23,8
162,22,13,3,5,2,179,26,9,30,"343,253",95,0,3,0,0,0,0,56,171,19,8
163,33,14,3,6,2,248,25,14,47,"343,253",95,0,1,2,0,0,1,86,165,32,3
164,20,13,3,6,2,260,50,11,36,"343,253",95,0,1,4,1,0,0,65,168,23,40
165,17,11,3,2,2,179,22,17,40,"343,253",95,0,2,2,0,1,0,63,170,22,40
166,14,1,3,2,2,155,12,14,34,"343,253",95,0,1,2,1,0,0,95,196,25,16
167,20,26,3,2,2,260,50,11,36,"343,253",95,0,1,4,1,0,0,65,168,23,16
168,14,13,3,3,2,155,12,14,34,"343,253",95,0,1,2,1,0,0,95,196,25,8
169,11,6,3,5,2,289,36,13,33,"343,253",95,0,1,2,1,0,1,90,172,30,8
170,17,8,3,5,2,179,22,17,40,"343,253",95,0,2,2,0,1,0,63,170,22,8
171,20,28,3,6,2,260,50,11,36,"343,253",95,0,1,4,1,0,0,65,168,23,4
172,28,23,3,6,2,225,26,9,28,"343,253",95,0,1,1,0,0,2,69,169,24,1
173,7,14,3,2,2,279,5,14,39,"343,253",95,0,1,2,1,1,0,68,168,24,8
174,3,13,3,3,2,179,51,18,38,"343,253",95,0,1,0,1,0,0,89,170,31,24
175,28,23,3,4,2,225,26,9,28,"343,253",95,0,1,1,0,0,2,69,169,24,2
176,28,11,3,2,3,225,26,9,28,"343,253",95,0,1,1,0,0,2,69,169,24,8
177,22,13,3,2,3,179,26,9,30,"343,253",95,0,3,0,0,0,0,56,171,19,1
178,28,11,3,3,3,225,26,9,28,"343,253",95,0,1,1,0,0,2,69,169,24,8
179,28,11,3,4,3,225,26,9,28,"343,253",95,0,1,1,0,0,2,69,169,24,16
180,3,13,3,4,3,179,51,18,38,"343,253",95,0,1,0,1,0,0,89,170,31,3
181,7,14,3,5,3,279,5,14,39,"343,253",95,0,1,2,1,1,0,68,168,24,16
182,28,28,3,6,3,225,26,9,28,"343,253",95,0,1,1,0,0,2,69,169,24,2
183,33,14,3,6,3,248,25,14,47,"343,253",95,0,1,2,0,0,1,86,165,32,3
184,28,28,3,2,3,225,26,9,28,"343,253",95,0,1,1,0,0,2,69,169,24,1
185,15,28,4,4,3,291,31,12,40,"326,452",96,0,1,1,1,0,1,73,171,25,1
186,28,23,4,4,3,225,26,9,28,"326,452",96,0,1,1,0,0,2,69,169,24,1
187,14,28,4,3,3,155,12,14,34,"326,452",96,0,1,2,1,0,0,95,196,25,1
188,24,13,4,4,3,246,25,16,41,"326,452",96,0,1,0,1,0,0,67,170,23,24
189,14,23,4,5,3,155,12,14,34,"326,452",96,0,1,2,1,0,0,95,196,25,1
190,28,28,4,6,3,225,26,9,28,"326,452",96,0,1,1,0,0,2,69,169,24,2
191,20,28,4,6,3,260,50,11,36,"326,452",96,0,1,4,1,0,0,65,168,23,4
192,3,13,4,4,3,179,51,18,38,"326,452",96,0,1,0,1,0,0,89,170,31,24
193,36,23,4,5,3,118,13,18,50,"326,452",96,0,1,1,1,0,0,98,178,31,1
194,15,23,4,6,3,291,31,12,40,"326,452",96,0,1,1,1,0,1,73,171,25,3
195,24,14,4,6,3,246,25,16,41,"326,452",96,0,1,0,1,0,0,67,170,23,8
196,15,28,4,6,3,291,31,12,40,"326,452",96,0,1,1,1,0,1,73,171,25,1
197,33,28,4,6,3,248,25,14,47,"326,452",96,0,1,2,0,0,1,86,165,32,8
198,20,19,4,6,3,260,50,11,36,"326,452",96,0,1,4,1,0,0,65,168,23,56
199,11,19,4,3,3,289,36,13,33,"326,452",96,0,1,2,1,0,1,90,172,30,8
200,14,12,4,4,3,155,12,14,34,"326,452",96,0,1,2,1,0,0,95,196,25,24
201,23,19,4,4,3,378,49,11,36,"326,452",96,0,1,2,0,1,4,65,174,21,8
202,11,13,4,5,3,289,36,13,33,"326,452",96,0,1,2,1,0,1,90,172,30,16
203,1,7,4,6,3,235,11,14,37,"326,452",96,0,3,1,0,0,1,88,172,29,3
204,2,0,4,2,3,235,29,12,48,"326,452",96,1,1,1,0,1,5,88,163,33,0
205,11,13,5,4,3,289,36,13,33,"378,884",92,0,1,2,1,0,1,90,172,30,8
206,14,28,5,5,3,155,12,14,34,"378,884",92,0,1,2,1,0,0,95,196,25,2
207,14,28,5,2,3,155,12,14,34,"378,884",92,0,1,2,1,0,0,95,196,25,1
208,3,18,5,3,3,179,51,18,38,"378,884",92,0,1,0,1,0,0,89,170,31,8
209,28,19,5,3,3,225,26,9,28,"378,884",92,0,1,1,0,0,2,69,169,24,8
210,27,7,5,4,3,184,42,7,27,"378,884",92,0,1,0,0,0,0,58,167,21,4
211,14,28,5,2,3,155,12,14,34,"378,884",92,0,1,2,1,0,0,95,196,25,2
212,3,12,5,3,3,179,51,18,38,"378,884",92,0,1,0,1,0,0,89,170,31,1
213,11,13,5,4,3,289,36,13,33,"378,884",92,0,1,2,1,0,1,90,172,30,24
214,7,0,5,4,3,279,5,14,39,"378,884",92,1,1,2,1,1,0,68,168,24,0
215,18,0,5,4,3,330,16,4,28,"378,884",92,1,2,0,0,0,0,84,182,25,0
216,23,0,5,4,3,378,49,11,36,"378,884",92,1,1,2,0,1,4,65,174,21,0
217,31,0,5,4,3,388,15,9,50,"378,884",92,1,1,0,0,0,0,76,178,24,0
218,3,11,5,3,3,179,51,18,38,"378,884",92,0,1,0,1,0,0,89,170,31,1
219,36,13,5,4,3,118,13,18,50,"378,884",92,0,1,1,1,0,0,98,178,31,24
220,10,22,5,6,3,361,52,3,28,"378,884",92,0,1,1,1,0,4,80,172,27,8
221,24,19,6,2,3,246,25,16,41,"377,550",94,0,1,0,1,0,0,67,170,23,8
222,10,22,6,2,3,361,52,3,28,"377,550",94,0,1,1,1,0,4,80,172,27,8
223,24,10,6,3,3,246,25,16,41,"377,550",94,0,1,0,1,0,0,67,170,23,24
224,15,23,6,5,3,291,31,12,40,"377,550",94,0,1,1,1,0,1,73,171,25,4
225,24,10,6,6,3,246,25,16,41,"377,550",94,0,1,0,1,0,0,67,170,23,8
226,3,11,6,2,3,179,51,18,38,"377,550",94,0,1,0,1,0,0,89,170,31,8
227,14,23,6,2,3,155,12,14,34,"377,550",94,0,1,2,1,0,0,95,196,25,4
228,24,10,6,2,3,246,25,16,41,"377,550",94,0,1,0,1,0,0,67,170,23,8
229,36,13,6,4,3,118,13,18,50,"377,550",94,0,1,1,1,0,0,98,178,31,8
230,1,13,6,6,3,235,11,14,37,"377,550",94,0,3,1,0,0,1,88,172,29,16
231,36,23,6,3,3,118,13,18,50,"377,550",94,0,1,1,1,0,0,98,178,31,1
232,36,13,6,4,3,118,13,18,50,"377,550",94,0,1,1,1,0,0,98,178,31,80
233,23,22,6,5,3,378,49,11,36,"377,550",94,0,1,2,0,1,4,65,174,21,8
234,3,11,6,6,3,179,51,18,38,"377,550",94,0,1,0,1,0,0,89,170,31,2
235,32,28,6,2,1,289,48,29,49,"377,550",94,0,1,0,0,0,2,108,172,36,2
236,28,28,6,5,1,225,26,9,28,"377,550",94,0,1,1,0,0,2,69,169,24,2
237,14,19,7,3,1,155,12,14,34,"275,312",98,0,1,2,1,0,0,95,196,25,16
238,36,1,7,4,1,118,13,18,50,"275,312",98,0,1,1,1,0,0,98,178,31,8
239,34,5,7,6,1,118,10,10,37,"275,312",98,0,1,0,0,0,0,83,172,28,8
240,34,26,7,6,1,118,10,10,37,"275,312",98,0,1,0,0,0,0,83,172,28,4
241,18,26,7,3,1,330,16,4,28,"275,312",98,0,2,0,0,0,0,84,182,25,8
242,22,18,7,5,1,179,26,9,30,"275,312",98,0,3,0,0,0,0,56,171,19,8
243,14,25,7,6,1,155,12,14,34,"275,312",98,0,1,2,1,0,0,95,196,25,2
244,18,1,7,2,1,330,16,4,28,"275,312",98,0,2,0,0,0,0,84,182,25,8
