,DS_Name categorical Name of DataSet,T continuous Number of examples in test set,Ncontinuous Number of examples,p continuous Number of attributes,k continuous Number of classes,Bin continuous Number of binary Attributes,"Cost continuous Cost (1=yes,0=no)",SDratio continuous Standard deviation ratio,correl continuous Mean correlation between attributes,cancor1 continuous First canonical correlation,cancor2 continuous Second canonical correlation,fract1 continuous First eigenvalue,fract2 continuous Second eigenvalue,skewness continuous Mean of |E(X-Mean)|^3/STD^3,kurtosis continuous Mean of |E(X-Mean)|^4/STD^4, Hc continuous Mean entropy of attributes,Hx continuous Entropy of classes, MCx continuous Mean mutual entropy of class and attributes, EnAtr continuous Equivalent number of attributes,NSRatio continuous Noise-signal ratio,Alg_Name categorical Name of Algorithm,Norm_error continuous Normalized Error (continuous class)
0,Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1.0,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.364601800000003,Ac2,3.8930000000000002
1,Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1.0,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.364601800000003,Alloc80,5.45
2,Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1.0,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.364601800000003,BackProp,1.791
3,Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1.0,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.364601800000003,Bayes,1.557
4,Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1.0,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.364601800000003,BayesTree,3.114
5,Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1.0,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.364601800000003,C4.5,1.868
6,Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1.0,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.364601800000003,CART,1.09
7,Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1.0,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.364601800000003,Cal5,0.0
8,Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1.0,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.364601800000003,Cascade,67.655
9,Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1.0,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.364601800000003,Castle,1.324
10,Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1.0,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.364601800000003,Cn2,5.683
11,Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1.0,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.364601800000003,Default,24.057
12,Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1.0,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.364601800000003,Dipol92,0.779
13,Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1.0,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.364601800000003,Discrim,0.779
14,Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1.0,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.364601800000003,ITrule,0.467
15,Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1.0,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.364601800000003,IndCART,1.635
16,Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1.0,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.364601800000003,KNN,3.8930000000000002
17,Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1.0,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.364601800000003,Kohonen,67.655
18,Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1.0,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.364601800000003,LVQ,5.138
19,Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1.0,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.364601800000003,LogDisc,0.779
20,Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1.0,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.364601800000003,NewId,3.8930000000000002
21,Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1.0,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.364601800000003,QuaDisc,5.917000000000001
22,Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1.0,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.364601800000003,RBF,1.09
23,Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1.0,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.364601800000003,Smart,2.102
24,BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,?,1.0,?,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444444,54.3858586,Ac2,9.035
25,BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,?,1.0,?,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444444,54.3858586,Alloc80,9.939
26,BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,?,1.0,?,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444444,54.3858586,BackProp,2.7110000000000003
27,BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,?,1.0,?,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444444,54.3858586,Bayes,20.781
28,BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,?,1.0,?,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444444,54.3858586,BayesTree,7.228
29,BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,?,1.0,?,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444444,54.3858586,C4.5,1.807
30,BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,?,1.0,?,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444444,54.3858586,CART,885.438
31,BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,?,1.0,?,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444444,54.3858586,Cal5,2.7110000000000003
32,BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,?,1.0,?,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444444,54.3858586,Cascade,885.438
33,BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,?,1.0,?,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444444,54.3858586,Castle,24.395
34,BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,?,1.0,?,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444444,54.3858586,Cn2,10.842
35,BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,?,1.0,?,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444444,54.3858586,Default,27.105
36,BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,?,1.0,?,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444444,54.3858586,Dipol92,0.0
37,BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,?,1.0,?,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444444,54.3858586,Discrim,11.745999999999999
38,BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,?,1.0,?,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444444,54.3858586,ITrule,23.491
39,BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,?,1.0,?,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444444,54.3858586,IndCART,4.518
40,BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,?,1.0,?,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444444,54.3858586,KNN,9.939
41,BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,?,1.0,?,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444444,54.3858586,Kohonen,20.781
42,BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,?,1.0,?,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444444,54.3858586,LVQ,18.07
43,BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,?,1.0,?,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444444,54.3858586,LogDisc,9.035
44,BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,?,1.0,?,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444444,54.3858586,NewId,11.745999999999999
45,BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,?,1.0,?,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444444,54.3858586,QuaDisc,27.105
46,BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,?,1.0,?,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444444,54.3858586,RBF,9.939
47,BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,?,1.0,?,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444444,54.3858586,Smart,0.0
48,Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,?,1.0,?,0.4334,2.6581,0.9453,5.4853,0.3172,2.98013871,16.292875199999997,Ac2,12.819
49,Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,?,1.0,?,0.4334,2.6581,0.9453,5.4853,0.3172,2.98013871,16.292875199999997,Alloc80,17.397000000000002
50,Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,?,1.0,?,0.4334,2.6581,0.9453,5.4853,0.3172,2.98013871,16.292875199999997,BackProp,5.0360000000000005
51,Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,?,1.0,?,0.4334,2.6581,0.9453,5.4853,0.3172,2.98013871,16.292875199999997,Bayes,25.636999999999997
52,Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,?,1.0,?,0.4334,2.6581,0.9453,5.4853,0.3172,2.98013871,16.292875199999997,BayesTree,10.987
53,Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,?,1.0,?,0.4334,2.6581,0.9453,5.4853,0.3172,2.98013871,16.292875199999997,C4.5,15.565999999999999
54,Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,?,1.0,?,0.4334,2.6581,0.9453,5.4853,0.3172,2.98013871,16.292875199999997,CART,12.819
55,Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,?,1.0,?,0.4334,2.6581,0.9453,5.4853,0.3172,2.98013871,16.292875199999997,Cal5,10.53
56,Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,?,1.0,?,0.4334,2.6581,0.9453,5.4853,0.3172,2.98013871,16.292875199999997,Cascade,455.064
57,Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,?,1.0,?,0.4334,2.6581,0.9453,5.4853,0.3172,2.98013871,16.292875199999997,Castle,18.77
58,Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,?,1.0,?,0.4334,2.6581,0.9453,5.4853,0.3172,2.98013871,16.292875199999997,Cn2,11.902999999999999
59,Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,?,1.0,?,0.4334,2.6581,0.9453,5.4853,0.3172,2.98013871,16.292875199999997,Default,162.981
60,Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,?,1.0,?,0.4334,2.6581,0.9453,5.4853,0.3172,2.98013871,16.292875199999997,Dipol92,5.494
61,Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,?,1.0,?,0.4334,2.6581,0.9453,5.4853,0.3172,2.98013871,16.292875199999997,Discrim,8.698
62,Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,?,1.0,?,0.4334,2.6581,0.9453,5.4853,0.3172,2.98013871,16.292875199999997,ITrule,27.011
63,Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,?,1.0,?,0.4334,2.6581,0.9453,5.4853,0.3172,2.98013871,16.292875199999997,IndCART,12.819
64,Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,?,1.0,?,0.4334,2.6581,0.9453,5.4853,0.3172,2.98013871,16.292875199999997,KNN,24.264
65,Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,?,1.0,?,0.4334,2.6581,0.9453,5.4853,0.3172,2.98013871,16.292875199999997,Kohonen,22.891
66,Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,?,1.0,?,0.4334,2.6581,0.9453,5.4853,0.3172,2.98013871,16.292875199999997,LVQ,21.975
67,Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,?,1.0,?,0.4334,2.6581,0.9453,5.4853,0.3172,2.98013871,16.292875199999997,LogDisc,0.45799999999999996
68,Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,?,1.0,?,0.4334,2.6581,0.9453,5.4853,0.3172,2.98013871,16.292875199999997,NewId,9.613999999999999
69,Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,?,1.0,?,0.4334,2.6581,0.9453,5.4853,0.3172,2.98013871,16.292875199999997,QuaDisc,21.059
70,Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,?,1.0,?,0.4334,2.6581,0.9453,5.4853,0.3172,2.98013871,16.292875199999997,RBF,12.819
71,Belgian,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,?,1.0,?,0.4334,2.6581,0.9453,5.4853,0.3172,2.98013871,16.292875199999997,Smart,0.0
72,CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,?,1.0,?,0.9012,3.5214,0.3256,4.6908,0.0292,160.64383600000002,159.64383600000002,Ac2,13.84
73,CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,?,1.0,?,0.9012,3.5214,0.3256,4.6908,0.0292,160.64383600000002,159.64383600000002,Alloc80,1.432
74,CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,?,1.0,?,0.9012,3.5214,0.3256,4.6908,0.0292,160.64383600000002,159.64383600000002,BackProp,4.295
75,CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,?,1.0,?,0.9012,3.5214,0.3256,4.6908,0.0292,160.64383600000002,159.64383600000002,Bayes,20.521
76,CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,?,1.0,?,0.9012,3.5214,0.3256,4.6908,0.0292,160.64383600000002,159.64383600000002,BayesTree,0.0
77,CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,?,1.0,?,0.9012,3.5214,0.3256,4.6908,0.0292,160.64383600000002,159.64383600000002,C4.5,0.9540000000000001
78,CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,?,1.0,?,0.9012,3.5214,0.3256,4.6908,0.0292,160.64383600000002,159.64383600000002,CART,460.999
79,CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,?,1.0,?,0.9012,3.5214,0.3256,4.6908,0.0292,160.64383600000002,159.64383600000002,Cal5,5.249
80,CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,?,1.0,?,0.9012,3.5214,0.3256,4.6908,0.0292,160.64383600000002,159.64383600000002,Cascade,460.999
81,CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,?,1.0,?,0.9012,3.5214,0.3256,4.6908,0.0292,160.64383600000002,159.64383600000002,Castle,12.885
82,CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,?,1.0,?,0.9012,3.5214,0.3256,4.6908,0.0292,160.64383600000002,159.64383600000002,Cn2,3.818
83,CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,?,1.0,?,0.9012,3.5214,0.3256,4.6908,0.0292,160.64383600000002,159.64383600000002,Default,12.408
84,CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,?,1.0,?,0.9012,3.5214,0.3256,4.6908,0.0292,160.64383600000002,159.64383600000002,Dipol92,5.249
85,CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,?,1.0,?,0.9012,3.5214,0.3256,4.6908,0.0292,160.64383600000002,159.64383600000002,Discrim,7.636
86,CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,?,1.0,?,0.9012,3.5214,0.3256,4.6908,0.0292,160.64383600000002,159.64383600000002,ITrule,22.906999999999996
87,CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,?,1.0,?,0.9012,3.5214,0.3256,4.6908,0.0292,160.64383600000002,159.64383600000002,IndCART,2.863
88,CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,?,1.0,?,0.9012,3.5214,0.3256,4.6908,0.0292,160.64383600000002,159.64383600000002,KNN,0.9540000000000001
89,CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,?,1.0,?,0.9012,3.5214,0.3256,4.6908,0.0292,160.64383600000002,159.64383600000002,Kohonen,7.636
90,CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,?,1.0,?,0.9012,3.5214,0.3256,4.6908,0.0292,160.64383600000002,159.64383600000002,LVQ,3.341
91,CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,?,1.0,?,0.9012,3.5214,0.3256,4.6908,0.0292,160.64383600000002,159.64383600000002,LogDisc,5.727
92,CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,?,1.0,?,0.9012,3.5214,0.3256,4.6908,0.0292,160.64383600000002,159.64383600000002,NewId,2.386
93,CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,?,1.0,?,0.9012,3.5214,0.3256,4.6908,0.0292,160.64383600000002,159.64383600000002,QuaDisc,25.77
94,CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,?,1.0,?,0.9012,3.5214,0.3256,4.6908,0.0292,160.64383600000002,159.64383600000002,RBF,4.772
95,CUT,7480,18700,20,2,0,0,1.032,0.2178,0.55,?,1.0,?,0.9012,3.5214,0.3256,4.6908,0.0292,160.64383600000002,159.64383600000002,Smart,6.204
96,Chromosone,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817248,3.29013613,Ac2,76.475
97,Chromosone,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817248,3.29013613,Alloc80,86.162
98,Chromosone,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817248,3.29013613,BackProp,467.00699999999995
99,Chromosone,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817248,3.29013613,Bayes,122.36
100,Chromosone,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817248,3.29013613,BayesTree,40.787
101,Chromosone,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817248,3.29013613,C4.5,46.395
102,Chromosone,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817248,3.29013613,CART,467.00699999999995
103,Chromosone,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817248,3.29013613,Cal5,81.57300000000001
104,Chromosone,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817248,3.29013613,Cascade,467.00699999999995
105,Chromosone,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817248,3.29013613,Castle,47.924
106,Chromosone,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817248,3.29013613,Cn2,33.649
107,Chromosone,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817248,3.29013613,Default,446.61300000000006
108,Chromosone,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817248,3.29013613,Dipol92,3.569
109,Chromosone,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817248,3.29013613,Discrim,11.725999999999999
110,Chromosone,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817248,3.29013613,ITrule,312.527
111,Chromosone,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817248,3.29013613,IndCART,45.375
112,Chromosone,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817248,3.29013613,KNN,19.883
113,Chromosone,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817248,3.29013613,Kohonen,45.885
114,Chromosone,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817248,3.29013613,LVQ,18.864
115,Chromosone,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817248,3.29013613,LogDisc,23.962
116,Chromosone,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817248,3.29013613,NewId,46.905
117,Chromosone,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817248,3.29013613,QuaDisc,0.0
118,Chromosone,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817248,3.29013613,RBF,22.941999999999997
119,Chromosone,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817248,3.29013613,Smart,22.433000000000003
120,Credit,2670,8900,16,2,8,0,1.0273,0.0825,0.7618,?,1.0,?,1.2082,4.4046,1.0,1.77,0.6409999999999999,1.5600624,1.76131045,Ac2,9.523
121,Credit,2670,8900,16,2,8,0,1.0273,0.0825,0.7618,?,1.0,?,1.2082,4.4046,1.0,1.77,0.6409999999999999,1.5600624,1.76131045,Alloc80,17.142
122,Credit,2670,8900,16,2,8,0,1.0273,0.0825,0.7618,?,1.0,?,1.2082,4.4046,1.0,1.77,0.6409999999999999,1.5600624,1.76131045,BackProp,9.714
123,Credit,2670,8900,16,2,8,0,1.0273,0.0825,0.7618,?,1.0,?,1.2082,4.4046,1.0,1.77,0.6409999999999999,1.5600624,1.76131045,Bayes,14.475
124,Credit,2670,8900,16,2,8,0,1.0273,0.0825,0.7618,?,1.0,?,1.2082,4.4046,1.0,1.77,0.6409999999999999,1.5600624,1.76131045,BayesTree,8.38
125,Credit,2670,8900,16,2,8,0,1.0273,0.0825,0.7618,?,1.0,?,1.2082,4.4046,1.0,1.77,0.6409999999999999,1.5600624,1.76131045,C4.5,0.0
126,Credit,2670,8900,16,2,8,0,1.0273,0.0825,0.7618,?,1.0,?,1.2082,4.4046,1.0,1.77,0.6409999999999999,1.5600624,1.76131045,CART,9.523
127,Credit,2670,8900,16,2,8,0,1.0273,0.0825,0.7618,?,1.0,?,1.2082,4.4046,1.0,1.77,0.6409999999999999,1.5600624,1.76131045,Cal5,0.762
128,Credit,2670,8900,16,2,8,0,1.0273,0.0825,0.7618,?,1.0,?,1.2082,4.4046,1.0,1.77,0.6409999999999999,1.5600624,1.76131045,Cascade,14.665999999999999
129,Credit,2670,8900,16,2,8,0,1.0273,0.0825,0.7618,?,1.0,?,1.2082,4.4046,1.0,1.77,0.6409999999999999,1.5600624,1.76131045,Castle,7.428
130,Credit,2670,8900,16,2,8,0,1.0273,0.0825,0.7618,?,1.0,?,1.2082,4.4046,1.0,1.77,0.6409999999999999,1.5600624,1.76131045,Cn2,10.095
